着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200706020308
1,4,8,シルクエレメント,牡6,57,吉田隼人,1:12.5,,**,4-4,37.9,22.1,7,504(-2),,,,[東] 谷原義明,シルク,740.0,200706020308
2,1,1,ソロターン,牡5,57,横山典弘,1:12.6,1/2,**,1-1,38.7,2.2,1,486(-4),,,,[東] 戸田博文,吉田和子,300.0,200706020308
3,5,10,リンクスクイン,牝5,55,北村宏司,1:12.7,1/2,**,12-12,36.9,9.6,5,450(+4),,,,[東] 西塚安夫,荻野猛夫,190.0,200706020308
4,3,5,エイワナギ,牡4,57,松岡正海,1:12.9,1.1/4,**,10-10,37.2,6.4,3,526(0),,,,[東] 松山康久,永井公太郎,110.0,200706020308
5,6,11,ホトダー,牡5,56,塚田祥雄,1:12.9,クビ,**,8-8,37.9,26.4,9,492(+12),,,,[東] 大江原哲,井上一郎,74.0,200706020308
6,2,4,ビッグマウス,牡4,57,小野次郎,1:12.9,ハナ,**,9-9,37.4,130.0,12,472(+8),,,,[東] 菅原泰夫,小原該一,,200706020308
7,7,14,リュウセイドラゴン,牡5,57,柴田善臣,1:13.2,1.3/4,**,4-6,38.6,15.5,6,484(+4),,,,[東] 高橋祥泰,南波壽,,200706020308
8,3,6,フローレストウブ,牝5,55,左海誠二,1:13.5,2,**,14-14,37.1,299.5,14,456(+6),,,,[東] 佐藤吉勝,真部晴徳,,200706020308
9,8,15,スプリングベルン,牝4,55,勝浦正樹,1:13.6,3/4,**,10-10,37.9,125.1,11,482(-2),,,,[東] 柴田政人,加藤春夫,,200706020308
10,4,7,ルルドウォーター,牡4,57,柴山雄一,1:13.7,1/2,**,6-5,38.9,9.1,4,460(+4),,,,[東] 畠山吉宏,岡田牧雄,,200706020308
11,6,12,トーアアストラエア,牝4,55,川田将雅,1:13.9,1.1/2,**,16-16,37.1,167.6,13,482(-4),,,,[東] 中川公成,東亜駿馬,,200706020308
12,1,2,シルクラズベリー,牝4,55,江田照男,1:14.0,1/2,**,2-2,40.0,56.6,10,444(+6),,,,[東] 大和田稔,シルク,,200706020308
13,5,9,ニチリンタカラ,牡5,57,後藤浩輝,1:14.2,1.1/4,**,6-7,39.4,5.1,2,510(-4),,,,[東] 加賀武見,岡田勇,,200706020308
14,7,13,リネンアピール,セ4,57,村田一誠,1:15.0,5,**,13-13,38.8,727.0,16,458(+4),,,,[東] 南田美知,戸山光男,,200706020308
15,8,16,スプリングジュラ,牡4,57,内田博幸,1:15.3,1.3/4,**,3-3,41.2,26.0,8,460(+2),,,,[東] 上原博之,加藤春夫,,200706020308
16,2,3,ハクリュウヤマフジ,牡5,54,千葉直人,1:15.6,1.3/4,**,14-15,39.2,515.5,15,476(0),,,,[東] 沢峰次,豊田一致,,200706020308
