着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200806020205
1,6,11,ゴスラー,牡3,56,内田博幸,1:36.0,,**,2-2-2,35.7,2.5,1,512(-10),,,,[東] 柴田政人,伊達敏明,500.0,200806020205
2,4,8,ラブエッセンス,牝3,53,田中博康,1:36.2,1,**,1-1-1,36.1,16.8,6,460(-2),,,,[東] 秋山雅一,ディアレスト,200.0,200806020205
3,2,3,マイネルアルセーヌ,牡3,56,松岡正海,1:36.3,1/2,**,9-5-4,35.6,7.1,4,462(-4),,,,[東] 畠山重則,サラブレッドクラブ・ラフィアン,130.0,200806020205
4,1,2,マイネベクルックス,牝3,54,勝浦正樹,1:36.3,ハナ,**,4-4-2,35.9,4.2,2,428(-2),,,,[東] 堀井雅広,サラブレッドクラブ・ラフィアン,75.0,200806020205
5,7,13,ロッキーローレル,牡3,53,千葉直人,1:36.7,2.1/2,**,13-8-4,35.7,249.3,13,432(-4),,,,[東] 菅原泰夫,保坂義貞,50.0,200806020205
6,8,15,エーブダヴィンチ,牡3,56,北村宏司,1:36.7,クビ,**,9-13-10,35.3,5.6,3,440(0),,,,[東] 清水利章,レーシングホースジャパン,,200806020205
7,1,1,コスモビースト,牡3,56,丹内祐次,1:36.8,1/2,**,9-6-4,36.0,34.5,8,460(-4),,,,[東] 清水美波,ビッグレッドファーム,,200806020205
8,5,10,ドリームブレイド,牡3,56,大野拓弥,1:36.9,1/2,**,13-12-8,35.6,231.9,12,446(+12),,,,[東] 上原博之,セゾンレースホース,,200806020205
9,3,5,ジョッキーポルカ,牡3,56,武士沢友,1:37.3,2.1/2,**,6-6-7,36.5,69.2,10,460(-10),,,,[東] 的場均,出羽牧場,,200806020205
10,7,14,スズノエイユウ,牡3,56,田中勝春,1:38.7,9,**,4-8-10,37.8,22.6,7,492(+6),,,,[東] 高橋裕,小紫芳夫,,200806020205
11,4,7,モリワカバ,牡3,56,小林淳一,1:38.9,1.1/2,**,16-13-14,37.5,394.8,16,452(-8),,,,[東] 岩城博俊,森島商事,,200806020205
12,3,6,インフィニット,セ3,56,鷹野宏史,1:39.0,1/2,**,9-15-16,37.4,319.9,14,446(-12),,,,[東] 手塚貴久,ミルファーム,,200806020205
13,5,9,シビルウォー,牡3,56,藤田伸二,1:39.1,クビ,**,8-10-12,37.9,10.0,5,466(+2),,,,[東] 戸田博文,社台レースホース,,200806020205
14,8,16,エリーチェ,牝3,54,後藤浩輝,1:39.7,3.1/2,**,2-2-8,39.4,44.6,9,444(+4),,,,[東] 中野栄治,北村和江,,200806020205
15,6,12,ノボメル,牝3,54,吉田隼人,1:39.9,1.1/4,**,6-10-12,38.8,86.3,11,420(0),,,,[東] 西塚安夫,ＬＳ．Ｍ,,200806020205
16,2,4,パシコリルライアン,牝3,54,高山太郎,1:40.3,2.1/2,**,15-16-14,38.6,391.1,15,416(-14),,,,[東] 佐藤全弘,酒井秀男,,200806020205
