着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200705030503
1,8,17,アマミスウィフト,牡3,53,田中博康,1:23.2,,**,6-8,35.1,10.1,5,426(+4),,,,[東] 清水利章,鈴木信俊,500.0,200705030503
2,7,13,マイスイートハート,牝3,51,的場勇人,1:23.4,1.1/4,**,2-2,35.7,4.2,2,440(0),,,,[東] 高木登,高木競走馬育成牧場,200.0,200705030503
3,6,12,ゲラウトマイウエイ,牝3,54,鈴木慶太,1:23.6,1,**,6-8,35.5,33.6,9,450(0),,,,[東] 清水利章,ヒダカ・ブリーダーズ・ユニオン,130.0,200705030503
4,2,4,プラネタリーリング,牡3,56,津村明秀,1:23.6,クビ,**,2-2,35.9,3.1,1,476(+8),,,,[東] 鈴木伸尋,池谷誠一,75.0,200705030503
5,3,5,キョクイチドラマ,牝3,54,田辺裕信,1:23.6,ハナ,**,16-15,35.1,8.8,4,432(-4),,,,[東] 西塚安夫,深野茂雄,50.0,200705030503
6,7,15,オートクレール,牝3,53,塚田祥雄,1:23.7,クビ,**,10-12,35.4,4.8,3,434(-2),,,,[東] 小島茂之,キャロットファーム,,200705030503
7,8,18,コスモヴァシュラン,牡3,53,黛弘人,1:23.7,ハナ,**,14-4,35.7,23.2,8,458(+12),,,,[東] 稲葉隆一,ビッグレッドファーム,,200705030503
8,6,11,キングケイザンオー,牡3,53,宮崎北斗,1:23.8,1/2,**,10-12,35.5,129.0,15,452(+10),,,,[東] 畠山重則,増田陽一,,200705030503
9,4,7,ヒシチャージャー,牡3,56,加藤士津,1:24.0,1.1/4,**,16-15,35.4,116.5,14,442(0),,,,[東] 加藤和宏,阿部雅一郎,,200705030503
10,8,16,アッシュアッパー,牝3,51,丸田恭介,1:24.0,クビ,**,4-4,36.0,19.0,7,448(+2),,,,[東] 宗像義忠,ターフ・スポート,,200705030503
11,1,1,トミケンルビー,牝3,51,草野太郎,1:24.1,1/2,**,10-12,35.8,43.9,10,414(-8),,,,[東] 柴崎勇,冨樫賢二,,200705030503
12,4,8,カヤドーブラン,牝3,51,佐藤聖也,1:24.1,ハナ,**,4-4,36.2,104.2,13,454(+8),,,,[東] 根本康広,黒澤尚,,200705030503
13,5,10,カシノエデン,牝3,54,高野和馬,1:24.1,クビ,**,14-15,35.6,347.4,18,418(+8),,,,[東] 二本柳俊,柏木務,,200705030503
14,1,2,パープルオーキッド,牝3,51,池崎祐介,1:24.2,1/2,**,6-4,36.2,48.1,11,456(+4),,,,[東] 小島茂之,大道牧場,,200705030503
15,3,6,ワンダープグナール,牡3,53,小島太一,1:24.4,1.1/2,**,18-18,35.6,259.3,17,418(+2),,,,[東] 加賀武見,山本信行,,200705030503
16,5,9,ゴールデンルール,牝3,54,南田雅昭,1:24.8,2.1/2,**,1-1,37.2,149.7,16,446(+2),,,,[東] 平井雄二,岡田牧雄,,200705030503
17,2,3,ハイデルベルグ,牡3,55,大野拓弥,1:25.0,1.1/2,**,10-8,36.9,18.6,6,512(0),,,,[東] 杉浦宏昭,ターフ・スポート,,200705030503
18,7,14,タビー,牝3,54,五十嵐雄,1:25.1,クビ,**,6-8,36.9,55.3,12,420(+4),,,,[東] 天間昭一,西森鶴,,200705030503
