着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200805050306
1,1,1,レッドスパーダ,牡2,55,横山典弘,1:37.2,,**,1-1,34.7,3.6,2,516(0),,,,[東] 藤沢和雄,東京ホースレーシング,700.0,200805050306
2,8,13,サマーアドバンス,牝2,54,松岡正海,1:37.4,1.1/4,**,5-5,34.5,2.7,1,478(0),,,,[東] 天間昭一,セゾンレースホース,280.0,200805050306
3,5,7,ヒカルマイステージ,牡2,55,内田博幸,1:37.6,1.1/2,**,9-6,34.6,4.4,3,510(0),,,,[東] 勢司和浩,高橋光,180.0,200805050306
4,7,12,ガラティン,牡2,55,北村宏司,1:37.6,ハナ,**,3-3,34.9,10.4,4,446(0),,,,[東] 上原博之,伊達敏明,110.0,200805050306
5,4,5,ニュートン,牡2,55,勝浦正樹,1:37.9,2,**,2-2,35.3,17.4,6,472(0),,,,[東] 蛯名信広,重松國建,70.0,200805050306
6,3,3,クールザヒート,牡2,55,和田竜二,1:37.9,ハナ,**,4-4,35.1,82.2,10,428(0),,,,[東] 松山将樹,大河内一権,,200805050306
7,7,11,サマーヒロイン,牝2,54,柴山雄一,1:38.1,1.1/4,**,7-9,34.9,18.4,7,446(0),,,,[東] 阿部新生,セゾンレースホース,,200805050306
8,4,6,コンフェルヴォーレ,牡2,55,吉田豊,1:39.7,10,**,7-6,36.7,11.7,5,444(0),,,,[東] 田村康仁,岡田牧雄,,200805050306
9,2,2,マイネルイノセント,牡2,54,三浦皇成,1:39.8,1/2,**,6-6,36.8,57.0,9,394(0),,,,[東] 畠山重則,サラブレッドクラブ・ラフィアン,,200805050306
10,3,4,シャインエフォート,牝2,54,吉田隼人,1:40.0,1.1/2,**,12-12,36.4,28.3,8,460(0),,,,[東] 根本康広,皆川博文,,200805050306
11,8,14,アロハアゲイン,牡2,55,村田一誠,1:40.1,3/4,**,9-10,36.7,344.9,13,440(0),,,,[東] 岩城博俊,喜田啓照,,200805050306
12,6,9,トーセンモンドット,牡2,55,田中勝春,1:40.5,2.1/2,**,13-12,36.9,139.5,11,496(0),,,,[東] 柴崎勇,島川隆哉,,200805050306
13,6,10,ファストカントリー,牡2,55,蛯名正義,1:41.2,4,**,9-10,37.9,209.3,12,566(0),,,,[東] 稗田研二,平岡茂樹,,200805050306
14,5,8,マスヴァンドット,牡2,55,池田鉄平,1:48.1,大,**,14-14,43.3,377.1,14,450(0),,,,[東] 畠山重則,上田忠男,,200805050306
