着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200706050606
1,7,13,アイティトップ,牡2,55,丹内祐次,1:37.7,,**,5-3-3,36.5,2.8,1,500(0),,,,[東] 矢野照正,一ノ瀬恭,700.0,200706050606
2,2,3,リーサムクラウン,牡2,55,木幡初広,1:37.7,クビ,**,9-4-5,36.4,4.8,3,486(0),,,,[東] 大江原哲,平田友里恵,280.0,200706050606
3,1,2,コスモディスティニ,牝2,54,柴田善臣,1:37.9,1.1/4,**,2-2-2,36.9,4.8,2,474(0),,,,[東] 稲葉隆一,ビッグレッドファーム,180.0,200706050606
4,8,15,ヤマニンシュエット,牝2,54,江田照男,1:38.1,1.1/4,**,1-1-1,37.1,29.2,10,460(0),,,,[東] 池上昌弘,土井肇,110.0,200706050606
5,7,14,ベストプロジェクト,牡2,55,村上忍,1:38.3,1.1/4,**,13-7-5,36.7,15.8,5,492(0),,,,[東] 宗像義忠,薗部博之,70.0,200706050606
6,4,8,アポロシアター,牡2,55,石神深一,1:38.4,1/2,**,9-7-8,36.8,26.4,9,480(0),,,,[東] 柴崎勇,アポロサラブレッドクラブ,,200706050606
7,2,4,ハイブリッドスター,牡2,55,村田一誠,1:38.5,3/4,**,8-7-9,36.9,19.7,6,454(0),,,,[東] 尾形充弘,杉山忠国,,200706050606
8,1,1,コアレスルドルフ,牡2,55,小林淳一,1:38.5,ハナ,**,2-4-5,37.2,55.4,11,438(0),,,,[東] 成島英春,小林昌志,,200706050606
9,5,9,スズノヒロイン,牝2,54,後藤浩輝,1:38.6,3/4,**,5-4-3,37.3,7.1,4,458(0),,,,[東] 高橋裕,小紫芳夫,,200706050606
10,5,10,シルバーワーロック,牡2,55,高橋智大,1:38.8,1,**,15-12-10,36.9,84.9,13,500(0),,,,[東] 大久保洋,大原詔宏,,200706050606
11,6,11,マイネルゼニット,牡2,53,田中博康,1:38.8,クビ,**,14-15-13,36.5,21.5,7,470(0),,,,[東] 伊藤伸一,サラブレッドクラブ・ラフィアン,,200706050606
12,8,16,プロディギー,牡2,55,吉田隼人,1:38.8,ハナ,**,11-12-10,36.8,80.0,12,420(0),,,,[東] 二ノ宮敬,広尾レース,,200706050606
13,3,6,トップオブオアフ,牡2,55,吉田豊,1:39.0,3/4,**,5-7-13,37.4,25.5,8,438(0),,,,[東] 伊藤伸一,横瀬兼二,,200706050606
14,4,7,エアブリエ,牝2,54,勝浦正樹,1:39.7,4,**,12-16-16,37.2,148.4,16,392(0),,,,[東] 後藤由之,ラッキーフィールド,,200706050606
15,6,12,ステイパシフィック,牡2,55,戸崎圭太,1:39.7,アタマ,**,15-11-10,37.9,118.5,14,430(0),,,,[東] 嶋田潤,酒井芳男,,200706050606
16,3,5,ニシノテンクウ,牡2,55,高山太郎,1:40.0,2,**,2-14-13,37.8,138.7,15,498(0),,,,[東] 小西一男,西山茂行,,200706050606
