着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200801020306
1,3,3,クルンプホルツ,牝3,54,安藤勝己,1:47.7,,**,8-8-7-4,37.6,1.3,1,446(+2),,,,[東] 栗田博憲,サンデーレーシング,500.0,200801020306
2,2,2,アルコプラータ,牝3,54,藤田伸二,1:47.8,1/2,**,9-9-9-7,37.3,6.4,2,476(-2),,,,[東] 松永康利,ＭＳプランニング,200.0,200801020306
3,1,1,スティングマリー,牝3,54,津村明秀,1:48.5,4,**,4-4-5-5,38.6,8.5,3,484(+8),,,,[東] 岩戸孝樹,青木基秀,130.0,200801020306
4,5,5,ハウリングソウル,牝3,53,北村友一,1:49.0,3,**,1-1-2-1,39.4,58.4,9,482(0),,,,[西] 池添兼雄,深見富朗,75.0,200801020306
5,8,11,オリーブガール,牝3,51,荻野琢真,1:49.3,2,**,6-6-7-9,39.1,39.9,7,492(-2),,,,[西] 松田国英,社台レースホース,50.0,200801020306
6,7,10,スプライトダンス,牝3,54,古川吉洋,1:49.6,2,**,4-4-5-8,39.7,37.0,5,470(+2),,,,[東] 古賀慎明,吉田照哉,,200801020306
7,7,9,エリーチェ,牝3,54,中舘英二,1:49.8,1,**,2-2-1-2,40.2,23.8,4,456(-12),,,,[東] 中野栄治,北村和江,,200801020306
8,6,7,ワンダープレッセル,牝3,51,丸田恭介,1:50.1,2,**,9-9-9-11,39.7,61.3,10,498(+4),,,,[西] 武邦彦,山本信行,,200801020306
9,8,12,アズマクロリス,牝3,54,千田輝彦,1:50.2,1/2,**,2-3-2-2,40.6,41.2,8,460(-6),,,,[西] 藤岡健一,東哲次,,200801020306
10,4,4,プリムヴェール,牝3,54,柴原央明,1:51.0,5,**,11-9-12-9,40.4,251.0,12,438(+2),,,,[西] 田中章博,辻俊夫,,200801020306
11,5,6,ピサノグレース,牝3,54,武幸四郎,1:51.5,3,**,7-6-4-5,41.7,38.4,6,454(-8),,,,[西] 安田隆行,市川義美,,200801020306
12,6,8,ハートスプリンクル,牝3,54,藤岡佑介,1:51.6,3/4,**,11-12-9-12,41.1,102.2,11,466(+4),,,,[東] 鹿戸雄一,山本英俊,,200801020306
