着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200705050709
1,1,2,キッズヴェローチェ,牡3,56,福永祐一,1:35.2,,**,9-6,34.7,21.3,6,466(0),,,,[東] 松山康久,瀬谷隆雄,740.0,200705050709
2,8,16,ニシノブルームーン,牝3,54,柴田善臣,1:35.3,1/2,**,8-9,34.6,3.9,2,466(-2),,,,[東] 鈴木伸尋,西山茂行,300.0,200705050709
3,8,17,リミットブレーカー,牡3,56,吉田隼人,1:35.4,クビ,**,13-13,34.4,8.5,3,506(0),,,,[東] 上原博之,臼田浩義,190.0,200705050709
4,7,15,プリンシペデルソル,牡5,57,武豊,1:35.5,3/4,**,9-10,34.7,2.0,1,492(0),,,,[東] 小島太,キャロットファーム,110.0,200705050709
5,2,3,センギョウシュフ,牝3,54,宗像徹,1:35.6,クビ,**,18-18,34.1,48.3,9,446(-2),,,,[東] 高橋義博,高橋信博,74.0,200705050709
6,7,13,マイネルスカット,牡4,57,岩田康誠,1:35.6,クビ,**,4-6,35.1,13.7,4,506(0),,,,[東] 上原博之,サラブレッドクラブ・ラフィアン,,200705050709
7,8,18,ジョウノパンジー,牝3,54,北村宏司,1:35.9,2,**,15-15,34.7,68.5,12,434(+6),,,,[東] 古賀慎明,小川義勝,,200705050709
8,3,5,コスモリリー,牝3,54,柴山雄一,1:36.0,クビ,**,4-3,35.7,128.7,16,408(0),,,,[東] 畠山吉宏,ビッグレッドファーム,,200705050709
9,5,9,カツヨカムトゥルー,牡4,57,武士沢友,1:36.1,3/4,**,6-5,35.7,56.1,10,452(+8),,,,[東] 中野渡清,丹羽茂文,,200705050709
10,4,7,キルシュブリューテ,牝3,54,蛯名正義,1:36.2,クビ,**,3-3,36.0,16.7,5,470(+12),,,,[東] 和田正道,ローレルレーシング,,200705050709
11,1,1,フレッチアドーロ,牡6,57,内田博幸,1:36.3,3/4,**,1-1,36.3,87.1,15,482(-8),,,,[東] 堀宣行,ヒダカ・ブリーダーズ・ユニオン,,200705050709
12,2,4,マイネシャリマー,牝3,54,松岡正海,1:36.5,1.1/4,**,15-10,35.6,75.0,13,460(-6),,,,[東] 阿部新生,サラブレッドクラブ・ラフィアン,,200705050709
13,6,11,テラモミリオネ,牡3,56,横山典弘,1:36.5,クビ,**,9-10,35.6,28.4,8,450(0),,,,[東] 堀宣行,寺田工務店,,200705050709
14,3,6,ウイッチ,牝4,55,勝浦正樹,1:36.6,1/2,**,2-2,36.5,58.3,11,466(+2),,,,[東] 相沢郁,高瀬真尚,,200705050709
15,7,14,マイネトップレディ,牝4,55,郷原洋司,1:36.9,2,**,12-13,35.9,318.7,18,482(0),,,,[東] 郷原洋行,サラブレッドクラブ・ラフィアン,,200705050709
16,5,10,レオテンリュウ,牡3,56,藤田伸二,1:37.1,1.1/2,**,13-15,35.9,76.6,14,534(+4),,,,[東] 杉浦宏昭,レオ,,200705050709
17,4,8,ジョーネンボー,牡3,56,小野次郎,1:37.1,ハナ,**,6-8,36.5,156.3,17,504(-4),,,,[東] 柴田政人,泉俊二,,200705050709
18,6,12,メアリーステラ,牝4,55,幸英明,1:38.1,6,**,17-15,36.8,24.3,7,498(-2),,,,[東] 栗田博憲,ヤナガワ牧場,,200705050709
