着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200806030508
1,3,4,クラッカージャック,牡4,57,藤田伸二,1:54.3,,**,1-1-1-1,39.0,9.3,5,486(-4),,,,[東] 土田稔,齊藤四方司,740.0,200806030508
2,5,9,メインセイラー,牡4,57,内田博幸,1:54.7,2.1/2,**,2-2-2-2,39.3,3.6,1,516(-6),,,,[東] 武市康男,臼田浩義,300.0,200806030508
3,1,1,アイアムレギュラー,牡4,57,吉田豊,1:54.8,クビ,**,11-11-8-4,38.8,6.2,3,482(+2),,,,[東] 小島茂之,堀紘一,190.0,200806030508
4,6,10,エバンジェリスト,セ5,57,横山典弘,1:54.8,クビ,**,14-14-11-6,38.5,3.8,2,452(-4),,,,[東] 後藤由之,吉田照哉,110.0,200806030508
5,2,2,シンボリプロキオン,牡5,57,柴田善臣,1:55.3,3,**,6-6-4-3,39.6,13.4,7,504(+4),,,,[東] 高橋祥泰,シンボリ牧場,74.0,200806030508
6,8,14,サクラオールイン,牡5,57,田中剛,1:55.4,3/4,**,6-6-5-6,39.6,26.5,9,484(-2),,,,[東] 小島太,さくらコマース,,200806030508
7,5,8,オンワードウシワカ,牡7,57,北村宏司,1:55.5,1/2,**,14-15-11-10,39.1,58.4,10,486(-4),,,,[東] 古賀慎明,樫山ハル,,200806030508
8,7,12,コスモファルバラン,牡4,56,田中博康,1:55.8,1.3/4,**,2-2-3-4,40.3,80.0,12,478(-4),,,,[東] 秋山雅一,ビッグレッドファーム,,200806030508
9,3,5,デュークトーゴー,牡5,57,勝浦正樹,1:56.0,1.1/4,**,9-9-9-12,39.9,135.0,13,478(-6),,,,[東] 小西一男,西川隆士,,200806030508
10,7,13,クリノアドベンチャ,牡4,57,武士沢友,1:56.4,2.1/2,**,13-13-11-12,40.0,18.5,8,462(-4),,,,[東] 中野渡清,栗本博晴,,200806030508
11,2,3,ハシルペンチャン,牡4,57,柴山雄一,1:56.4,クビ,**,8-8-7-6,40.5,229.7,14,440(+2),,,,[東] 小林常泰,齋藤宏明,,200806030508
12,4,7,ループホール,牡4,57,川田将雅,1:56.4,アタマ,**,4-4-5-6,40.6,62.2,11,448(0),,,,[東] 小笠倫弘,ノースヒルズマネジメント,,200806030508
13,6,11,ストロングラムダ,牡5,57,田中勝春,1:57.3,5,**,4-5-11-14,40.9,11.7,6,500(-2),,,,[東] 鹿戸雄一,村木篤,,200806030508
14,4,6,ロックリヴァー,牡5,54,三浦皇成,1:57.6,1.3/4,**,11-11-9-10,41.5,7.2,4,462(+2),,,,[東] 相沢郁,福島徳佑,,200806030508
15,8,15,サクラヴェローチェ,セ4,57,伊藤直人,1:57.7,クビ,**,9-9-11-15,41.3,236.1,15,420(-10),,,,[東] 小笠倫弘,さくらコマース,,200806030508
