着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200701010605
1,4,4,ファンドリゲット,牡3,55,北村友一,1:47.1,,**,1-1-1-1,39.4,2.9,1,474(-2),,,,[西] 岩元市三,水戸富雄,500.0,200701010605
2,5,6,トゥルーノース,牡3,56,横山典弘,1:47.4,2,**,2-2-2-2,39.5,7.4,5,486(+2),,,,[東] 堀宣行,広尾レース,200.0,200701010605
3,2,2,タガノアサヒ,牡3,56,小原義之,1:48.0,3.1/2,**,8-8-6-4,39.8,106.0,8,484(+4),,,,[西] 小原伊佐,八木良司,130.0,200701010605
4,6,8,メインセイラー,牡3,56,藤田伸二,1:48.6,3.1/2,**,7-7-6-8,40.3,6.8,4,518(+14),,,,[東] 加藤征弘,臼田浩義,75.0,200701010605
5,7,10,アデオス,牡3,56,池添謙一,1:48.9,1.3/4,**,9-9-9-6,40.1,158.2,10,512(-8),,,,[西] 清水出美,エクセルマネジメント,50.0,200701010605
6,6,7,ヤマタケフレッシュ,牡3,56,柴山雄一,1:49.3,2.1/2,**,3-3-2-3,41.4,4.8,3,482(-4),,,,[東] 畠山重則,山中和子,,200701010605
7,3,3,ハギノアスラン,牡3,56,岩田康誠,1:49.5,1.1/2,**,4-3-4-4,41.5,3.4,2,462(+2),,,,[西] 松田国英,日隈良江,,200701010605
8,5,5,マイネルシーワ,牡3,56,梶晃啓,1:49.9,2.1/2,**,4-3-6-9,41.7,23.1,7,474(-2),,,,[東] 田村康仁,サラブレッドクラブ・ラフィアン,,200701010605
9,8,12,ミムズプレゼンター,牝3,54,武幸四郎,1:50.6,4,**,6-6-4-6,42.6,19.4,6,512(+18),,,,[西] 岡田稲男,水上ふじ子,,200701010605
10,1,1,ウィッシュイズワン,牡3,56,古川吉洋,1:51.2,3.1/2,**,9-10-10-10,41.9,235.1,11,530(-2),,,,[東] 水野貴広,槇本牧場,,200701010605
11,8,11,タイキトリック,牡3,53,草野太郎,1:53.3,大,**,11-11-11-11,43.2,152.4,9,496(0),,,,[東] 高橋祥泰,大樹ファーム,,200701010605
除,7,9,サーブルス,牡3,53,黛弘人,,,**,,,---,,450(-6),,,,[西] 池添兼雄,幅田昌伸,,200701010605
