着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200705010308
1,4,5,コウエイトライ,牝6,58,小坂忠士,3:40.0,,,1-1-1-2,13.3,2.5,1,484(-4),,,,[西] 田所清広,伊東政清,1831.5,200705010308
2,1,1,クルワザード,牡5,60,今村康成,3:40.0,クビ,,5-5-4-4,13.3,22.1,6,452(0),,,,[西] 作田誠二,ヒダカ・ブリーダーズ・ユニオン,729.0,200705010308
3,6,9,フミノトキメキ,牡6,60,石山繁,3:40.1,クビ,,3-3-3-2,13.3,4.0,3,502(0),,,,[西] 目野哲也,谷二,454.5,200705010308
4,3,4,オンワードタイタン,牡5,60,山本康志,3:40.3,1,,8-8-8-9,13.4,106.1,11,470(+2),,,,[東] 阿部新生,オンワード牧場,270.0,200705010308
5,5,7,ベストグランチャ,セ5,60,穂苅寿彦,3:40.3,クビ,,2-2-2-1,13.4,3.9,2,472(+6),,,,[東] 藤原辰雄,鳥海商事,180.0,200705010308
6,5,8,ノボリハウツー,牡6,60,西谷誠,3:40.4,クビ,,3-3-6-6,13.4,12.0,5,502(-6),,,,[西] 瀬戸口勉,原田豊,,200705010308
7,8,13,アドニスシチー,牡7,60,大庭和弥,3:40.8,2.1/2,,10-10-10-10,13.4,85.9,9,470(+12),,,,[東] 嶋田功,友駿ホースクラブ,,200705010308
8,3,3,マイネルアントス,牡4,59,高野和馬,3:40.9,クビ,,9-9-8-7,13.4,51.0,8,536(-6),,,,[東] 畠山重則,サラブレッドクラブ・ラフィアン,,200705010308
9,7,12,ファントムスズカ,牡6,60,北沢伸也,3:41.4,3,,6-5-5-5,13.4,43.5,7,480(-4),,,,[西] 橋田満,永井啓弍,,200705010308
10,6,10,タニノエタニティ,牡9,60,熊沢重文,3:41.8,2.1/2,,7-5-7-8,13.4,8.6,4,490(+2),,,,[西] 松田国英,谷水雄三,,200705010308
11,4,6,カナハラコマンダー,牡5,60,宗像徹,3:45.5,大,,12-11-11-11,13.7,86.3,10,504(+2),,,,[東] 山田要一,寺内正光,,200705010308
12,8,14,ワンモアディネロ,牡8,60,蓑島靖典,3:45.6,クビ,,13-13-13-13,13.7,123.1,12,522(+2),,,,[東] 佐藤吉勝,松井一三,,200705010308
13,2,2,ドゥーワンズベスト,牡8,60,五十嵐雄,3:45.7,3/4,,11-12-12-12,13.7,314.5,14,514(+18),,,,[東] 浅野洋一,高木競走馬育成牧場,,200705010308
14,7,11,ディバイドバイゼロ,牡7,60,伊藤直人,3:46.9,7,,13-13-13-13,13.8,200.2,13,464(+4),,,,[西] 森秀行,薗部博之,,200705010308
