着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200706030407
1,6,6,トラストブラック,牡5,57,蛯名正義,1:55.4,,**,9-9-4-3,38.8,2.1,1,552(+2),,,,[東] 土田稔,菅波雅巳,740.0,200706030407
2,3,3,ブローオブサンダー,牝4,55,藤田伸二,1:55.4,ハナ,**,2-2-2-2,39.0,4.2,2,482(0),,,,[東] 堀宣行,吉田勝己,300.0,200706030407
3,7,9,スターラビット,牡4,57,横山典弘,1:56.0,3.1/2,**,1-1-1-1,39.7,33.9,8,498(+8),,,,[東] 菅原泰夫,喜多村辰子,190.0,200706030407
4,5,5,リスティアプロトス,牡6,57,御神本訓,1:56.1,クビ,**,7-7-7-7,39.2,5.5,3,514(+10),,,,[東] 鈴木伸尋,村中徳広,110.0,200706030407
5,2,2,ロイバークラフト,牡4,57,柴山雄一,1:56.4,2,**,3-3-4-3,39.8,10.4,5,478(0),,,,[東] 岩戸孝樹,村中徳広,74.0,200706030407
6,4,4,マイネルピエール,牡6,57,後藤浩輝,1:56.7,1.3/4,**,6-6-7-6,39.8,24.0,7,496(-2),,,,[東] 成島英春,サラブレッドクラブ・ラフィアン,,200706030407
7,1,1,ワキノムテキ,牡5,57,松岡正海,1:56.7,クビ,**,11-10-10-7,39.5,20.0,6,514(-10),,,,[東] 萩原清,脇山良之,,200706030407
8,6,7,デルマアポロ,牡5,57,吉田隼人,1:57.3,3.1/2,**,10-11-11-10,39.6,79.3,10,460(+4),,,,[東] 天間昭一,浅沼廣幸,,200706030407
9,8,11,エビスグリーン,牡5,57,内田博幸,1:58.7,9,**,5-5-2-5,42.2,9.3,4,520(-4),,,,[東] 加藤征弘,加藤友三郎,,200706030407
10,8,10,キープコンセプト,牡4,57,北村宏司,1:58.7,アタマ,**,7-7-7-9,41.7,46.2,9,460(-2),,,,[東] 坂本勝美,飯田正剛,,200706030407
11,7,8,ビクトリーユーゴウ,牡4,57,勝浦正樹,2:00.1,9,**,3-3-6-10,43.4,102.0,11,460(-10),,,,[東] 杉浦宏昭,ターフ・スポート,,200706030407
