着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200601020107
1,1,1,タバスコムスメ,牝3,52,四位洋文,1:46.5,,**,4-3-3-3,36.4,6.2,4,434(+2),,,,[西] 武邦彦,八木昌司,740.0,200601020107
2,8,11,ホッカイラブリー,牝4,55,北村宏司,1:46.5,クビ,**,10-10-8-6,36.0,16.4,5,470(-10),,,,[東] 石栗龍彦,高木繁光,300.0,200601020107
3,6,7,アーリーオータム,牝4,55,須貝尚介,1:46.6,クビ,**,2-2-2-2,36.8,20.6,6,466(+4),,,,[西] 須貝彦三,廣村茂一,190.0,200601020107
4,3,3,オレンジアロマ,牝4,55,藤田伸二,1:46.8,1,**,6-6-5-4,36.5,2.6,1,448(+4),,,,[東] 西塚安夫,ジョイ・レースホース,110.0,200601020107
5,4,4,ヤマニンエマイユ,牝3,50,塚田祥雄,1:47.0,1.1/2,**,1-1-1-1,37.3,4.3,2,460(+20),,,,[西] 浅見秀一,土井肇,74.0,200601020107
6,7,8,ライトモーション,牝3,49,黛弘人,1:47.0,ハナ,**,10-10-11-9,36.3,37.9,9,404(-2),,,,[東] 高松邦男,柳橋俊昭,,200601020107
7,6,6,ステレオタイプ,牝4,52,的場勇人,1:47.4,2.1/2,**,6-6-5-5,37.1,4.4,3,482(+4),,,,[西] 長浜博之,社台レースホース,,200601020107
8,5,5,キョウエイハツラツ,牝4,55,藤岡佑介,1:47.5,クビ,**,9-8-9-7,36.9,41.3,10,464(+2),,,,[西] 福島勝,インターナシヨナルホース,,200601020107
9,2,2,ノーストピア,牝5,55,五十嵐冬,1:47.8,2,**,4-3-5-9,37.5,26.0,8,438(+2),,,,[西] 飯田雄三,平成フアーム,,200601020107
10,8,10,アプリラポルタ,牝4,54,津村明秀,1:48.2,2.1/2,**,8-8-9-11,37.6,149.6,11,444(-6),,,,[東] 中川公成,木村牧場,,200601020107
11,7,9,ビービーイリューム,牝3,52,柴山雄一,1:48.9,4,**,3-3-3-7,38.8,20.8,7,448(+8),,,,[東] 勢司和浩,坂東牧場,,200601020107
