着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200703010605
1,3,6,ケイアイハイタイド,牡3,56,石橋脩,1:48.7,,**,3-3-2-3,35.7,3.1,1,486(+10),,,,[東] 柴崎勇,亀田守弘,500.0,200703010605
2,1,1,ノーキュアノーペイ,牡3,53,浜中俊,1:48.7,ハナ,**,7-5-5-5,35.5,9.2,5,530(-2),,,,[西] 西浦勝一,アカデミー,200.0,200703010605
3,3,5,ナムラシンドバッド,牡3,56,津村明秀,1:48.8,3/4,**,10-9-11-7,35.2,11.2,6,468(+10),,,,[西] 矢作芳人,奈村信重,130.0,200703010605
4,2,4,マイネルテアトロン,牡3,56,梶晃啓,1:48.9,クビ,**,1-1-1-1,36.0,22.2,8,502(-4),,,,[東] 稲葉隆一,サラブレッドクラブ・ラフィアン,75.0,200703010605
5,5,9,ネヴァキングダム,牡3,55,塚田祥雄,1:48.9,クビ,**,2-2-2-2,36.0,5.0,3,482(+6),,,,[東] 藤沢和雄,ティーエイチ,50.0,200703010605
6,1,2,コスモペンタクン,牡3,53,大野拓弥,1:49.1,1.1/4,**,5-5-5-5,35.9,4.7,2,444(-6),,,,[東] 清水美波,ビッグレッドファーム,,200703010605
7,2,3,アントラン,牡3,56,太宰啓介,1:49.2,1/2,**,3-3-5-4,36.0,83.7,13,480(-6),,,,[西] 中竹和也,藤田孟司,,200703010605
8,7,14,フジノカミカゼ,牡3,56,安藤光彰,1:49.3,1/2,**,16-16-16-13,35.1,9.1,4,468(0),,,,[西] 清水出美,小林久義,,200703010605
9,7,13,メイショウブリオ,牡3,53,田中健,1:49.5,1,**,7-9-13-13,35.5,257.0,15,466(-2),,,,[西] 安田伊佐,松本和子,,200703010605
10,8,15,ハートオンスマイル,牝3,54,西田雄一,1:49.6,3/4,**,13-9-8-9,36.1,76.4,12,464(0),,,,[東] 境征勝,野坂牧場,,200703010605
11,6,12,マルイチキセキ,牡3,56,川島信二,1:50.1,3,**,11-9-12-11,36.4,43.1,10,424(-2),,,,[西] 湯窪幸雄,小林茂行,,200703010605
12,4,8,タワードピーク,牡3,56,中舘英二,1:50.3,1.1/4,**,7-8-4-7,37.2,13.4,7,486(-2),,,,[東] 和田正道,前田幸治,,200703010605
13,5,10,ティービスティー,牡3,56,赤木高太,1:50.5,1.1/4,**,15-15-13-13,36.5,42.9,9,468(0),,,,[西] 藤原英昭,備前島融,,200703010605
14,8,16,ニホンピロタルト,牝3,54,芹沢純一,1:50.7,1.1/2,**,13-13-8-9,37.3,151.0,14,448(-12),,,,[西] 安達昭夫,小林百太郎,,200703010605
15,4,7,サチノマイターン,牡3,53,佐藤聖也,1:51.2,3,**,11-13-13-16,37.2,406.2,16,438(-2),,,,[東] 平井雄二,佐藤幸彦,,200703010605
16,6,11,レオタックル,牡3,56,吉田隼人,1:52.1,5,**,5-5-8-11,38.6,71.5,11,474(-8),,,,[東] 岩戸孝樹,レオ,,200703010605
