着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200803020712
1,8,14,リノーンリーズン,牡3,54,吉田隼人,2:01.6,,**,11-10-8-3,36.1,3.8,1,490(+6),,,,[東] 鈴木伸尋,村中徳広,740.0,200803020712
2,3,3,クリノアドベンチャ,牡4,57,武士沢友,2:01.8,1.1/4,**,6-6-6-3,36.4,11.7,7,464(+2),,,,[東] 中野渡清,栗本博晴,300.0,200803020712
3,7,12,マイネルテアトロン,牡4,57,柴山雄一,2:01.9,1/2,**,3-3-1-1,37.0,4.3,2,522(-6),,,,[東] 稲葉隆一,サラブレッドクラブ・ラフィアン,190.0,200803020712
4,8,13,トーセンスウィング,牡3,54,中舘英二,2:02.3,2.1/2,**,5-5-2-3,37.2,11.4,6,468(+2),,,,[東] 中島敏文,島川隆哉,110.0,200803020712
5,6,10,キャサリンダイヤ,牝4,54,田中博康,2:02.5,1,**,14-14-12-10,36.8,146.0,12,492(0),,,,[東] 稗田研二,平岡茂樹,74.0,200803020712
6,7,11,ジョイザラス,牡4,57,松岡正海,2:02.7,1.1/4,**,4-4-5-7,37.5,5.6,4,474(-2),,,,[東] 清水利章,齊藤四方司,,200803020712
7,4,6,エスペランサワン,牡6,57,石橋脩,2:02.9,1.1/4,**,10-10-11-8,37.3,20.9,8,516(+6),,,,[東] 柴田政人,加藤春夫,,200803020712
8,3,4,マイネルゴーシュ,牡6,54,黛弘人,2:03.0,3/4,**,9-9-8-8,37.5,36.8,9,444(+4),,,,[東] 稲葉隆一,サラブレッドクラブ・ラフィアン,,200803020712
9,5,7,シュウザンゴールド,牡4,54,伊藤工真,2:03.4,2.1/2,**,2-2-2-3,38.3,117.1,11,474(0),,,,[東] 鈴木康弘,平光良,,200803020712
10,6,9,アイファーターボー,牡4,57,江田照男,2:04.0,3.1/2,**,13-13-13-11,38.1,180.2,13,466(-6),,,,[東] 星野忍,中島稔,,200803020712
11,2,2,スイートブレナム,牝3,52,二本柳壮,2:04.1,3/4,**,1-1-2-2,39.1,5.0,3,474(+2),,,,[東] 後藤由之,シンボリ牧場,,200803020712
12,1,1,タマヒカル,牝6,55,後藤浩輝,2:05.6,9,**,8-6-8-11,40.1,47.1,10,490(-8),,,,[東] 高橋義博,海谷幸司,,200803020712
13,4,5,ウイニングアーク,牡5,57,安藤光彰,2:06.2,3.1/2,**,6-6-6-13,40.8,205.9,14,476(+4),,,,[東] 嶋田潤,金田成基,,200803020712
中,5,8,ビービーモデナ,牝3,52,村田一誠,,,**,12-12,,10.8,5,472(+6),,,,[東] 土田稔,坂東牧場,,200803020712
