着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200706050204
1,2,2,ローレルハンバーバ,牡4,60,金子光希,3:17.6,,,5-5-3-2,13.7,2.4,1,480(0),,,,[東] 矢野進,ローレルレーシング,850.0,200706050204
2,8,14,ウォータートリトン,牡4,60,佐久間寛,3:17.6,クビ,,1-2-2-1,13.7,19.4,7,446(+10),,,,[西] 鹿戸明,山岡良一,340.0,200706050204
3,1,1,ヒシバトル,セ5,60,山本康志,3:18.3,4,,6-7-4-4,13.8,4.8,3,458(-4),,,,[東] 小笠倫弘,阿部雅一郎,210.0,200706050204
4,7,11,ダイワアスカロン,牡4,60,鈴木慶太,3:18.4,1/2,,8-8-9-8,13.8,158.2,13,450(+2),,,,[東] 中野渡清,大城敬三,130.0,200706050204
5,8,13,オースミダンスイン,牡5,60,大庭和弥,3:18.5,クビ,,8-10-9-8,13.8,35.3,8,546(-4),,,,[東] 菅原泰夫,オースミ,85.0,200706050204
6,3,3,ワイズタイクーン,牡5,60,穂苅寿彦,3:18.5,ハナ,,11-8-4-4,13.8,18.1,6,522(+8),,,,[東] 和田正道,井口莞爾,,200706050204
7,5,7,トーセンエタニティ,牡7,60,水出大介,3:18.7,1.1/4,,3-4-7-7,13.8,45.2,9,540(+4),,,,[東] 斎藤宏,島川隆哉,,200706050204
8,4,5,トウショウズシオウ,牡3,58,林満明,3:19.3,3.1/2,,3-1-1-2,13.8,3.9,2,488(-6),,,,[西] 坪憲章,トウショウ産業,,200706050204
9,5,8,ラドランファーマ,牝5,58,横山義行,3:19.9,3.1/2,,6-6-4-4,13.9,10.0,4,486(-4),,,,[東] 鈴木伸尋,村中徳広,,200706050204
10,4,6,プレンティスピード,牡5,60,宗像徹,3:20.0,3/4,,14-12-11-10,13.9,16.5,5,450(+10),,,,[東] 稲葉隆一,鈴木芳夫,,200706050204
11,7,12,スズカザゴールド,牡4,60,田中剛,3:20.7,4,,2-2-8-10,13.9,56.7,10,482(+8),,,,[東] 柄崎孝,永井啓弍,,200706050204
12,6,10,レオブライト,セ4,60,高野和馬,3:21.8,7,,8-11-12-12,14.0,197.0,14,474(+4),,,,[東] 田子冬樹,田中博之,,200706050204
13,3,4,ビコーウエル,牡5,60,江田勇亮,3:23.6,大,,12-12-13-13,14.1,137.9,12,478(-6),,,,[東] 菊川正達,レジェンド,,200706050204
14,6,9,スギノウルフ,セ5,60,浜野谷憲,3:26.2,大,,12-14-14-14,14.3,117.8,11,452(0),,,,[東] 古賀史生,杉山美惠,,200706050204
