着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200601010107
1,6,7,シナーラ,牝4,55,北村宏司,0:59.2,,**,2-2,35.8,27.0,9,502(+18),,,,[東] 菅原泰夫,石川儀治,740.0,200601010107
2,4,4,キマグレ,牝4,55,柴原央明,0:59.3,3/4,**,2-1,36.0,6.6,3,484(+6),,,,[西] 田中章博,小田切有一,300.0,200601010107
3,3,3,ジーティーピーチ,牝5,55,小林徹弥,0:59.6,2,**,8-7,35.6,41.7,11,478(+4),,,,[西] 橋本寿正,グリーンテック,190.0,200601010107
4,6,8,タイキミント,牝4,55,岩田康誠,0:59.6,クビ,**,1-2,36.3,27.9,10,456(+34),,,,[西] 藤原英昭,大樹ファーム,110.0,200601010107
5,8,11,フレンチパフューム,牝4,55,四位洋文,0:59.7,1/2,**,8-7,35.7,17.2,7,478(+18),,,,[西] 大久保龍,社台レースホース,74.0,200601010107
6,7,9,パレスレディー,牝5,55,芹沢純一,0:59.9,1.1/4,**,5-4,36.2,3.5,2,460(-12),,,,[西] 小島貞博,西村豊,,200601010107
7,5,6,スイフトバイオ,牝4,55,本田優,0:59.9,ハナ,**,5-4,36.2,3.4,1,448(-4),,,,[西] 西浦勝一,バイオ,,200601010107
8,7,10,キャンパスクイーン,牝5,55,安藤勝己,1:00.1,1.1/2,**,11-10,35.7,23.7,8,420(-6),,,,[東] 萩原清,金子真人ホールディングス,,200601010107
9,8,12,タイセイガイア,牝3,52,柴山雄一,1:00.3,1,**,8-10,36.2,9.7,5,454(+6),,,,[西] 古川平,田中成奉,,200601010107
10,1,1,カザバナジョウ,牝3,52,秋山真一,1:00.6,2,**,4-4,37.0,7.7,4,492(-2),,,,[東] 和田正道,河内孝夫,,200601010107
11,2,2,ディープアイ,牝3,52,藤田伸二,1:00.9,2,**,5-7,37.2,10.7,6,452(+22),,,,[西] 昆貢,深見富朗,,200601010107
除,5,5,ホワイトアリス,牝5,55,武幸四郎,,,**,,,---,,508(-6),,,,[西] 崎山博樹,冨沢敦子,,200601010107
