着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200805050703
1,7,14,ムクドク,牡2,55,ルメール,1:35.0,,**,5-4,36.0,14.6,7,486(+4),,,,[東] 加藤征弘,平井卓志,500.0,200805050703
2,1,1,シルクダンディー,牡2,55,横山典弘,1:35.0,アタマ,**,10-11,35.4,5.3,2,524(+14),,,,[西] 昆貢,シルク,200.0,200805050703
3,4,7,インファティック,牡2,55,田中勝春,1:35.1,クビ,**,10-10,35.6,34.8,11,498(0),,,,[東] 鹿戸雄一,田中春美,130.0,200805050703
4,6,11,ニシノアララギ,牡2,54,三浦皇成,1:35.3,1.1/2,**,7-7,36.0,11.2,5,490(0),,,,[東] 水野貴広,西山茂行,75.0,200805050703
5,3,5,コスモディアナ,牝2,54,石橋脩,1:35.5,1.1/4,**,14-14,35.6,10.8,3,452(0),,,,[東] 畠山重則,ビッグレッドファーム,50.0,200805050703
6,2,4,ダイワオードリー,牝2,54,北村宏司,1:35.8,1.3/4,**,15-14,35.9,32.1,10,468(-6),,,,[東] 二ノ宮敬,大城敬三,,200805050703
7,5,9,タカラサンデー,牡2,55,後藤浩輝,1:35.8,クビ,**,2-2,37.2,2.5,1,500(-2),,,,[東] 国枝栄,村山義男,,200805050703
8,2,3,ネイチャーキング,牡2,55,高山太郎,1:35.9,クビ,**,12-11,36.2,11.0,4,434(+4),,,,[東] 佐藤全弘,井上修一,,200805050703
9,1,2,マキノソアラ,牝2,54,武士沢友,1:36.1,1.1/4,**,7-7,36.8,139.0,16,432(-2),,,,[東] 小桧山悟,小川敏夫,,200805050703
10,6,12,マンダリンシルバー,牡2,55,蛯名正義,1:36.2,1/2,**,12-13,36.4,48.0,12,452(+10),,,,[東] 伊藤正徳,郭東仁,,200805050703
11,8,17,ミスベルツリー,牝2,54,木幡初広,1:36.4,1,**,7-7,37.2,63.6,13,454(0),,,,[東] 稲葉隆一,鈴木芳夫,,200805050703
12,3,6,エバーライジング,牡2,55,内田博幸,1:36.5,1/2,**,5-4,37.5,19.5,9,532(-2),,,,[東] 斎藤誠,ユートピア牧場,,200805050703
13,7,13,ナムラマーキュリー,牡2,55,中舘英二,1:36.6,1/2,**,17-17,36.3,332.0,17,450(-2),,,,[東] 田村康仁,奈村信重,,200805050703
14,5,10,マイネルクロッシュ,牡2,55,柴山雄一,1:36.8,1.1/4,**,3-3,38.0,11.8,6,466(0),,,,[東] 高橋裕,サラブレッドクラブ・ラフィアン,,200805050703
15,4,8,シャルトルブルー,牝2,53,的場勇人,1:36.9,1/2,**,18-18,35.8,129.3,15,420(0),,,,[東] 手塚貴久,キャロットファーム,,200805050703
16,7,15,ヴィーヴァコルサ,牡2,52,宮崎北斗,1:37.5,3.1/2,**,15-16,37.5,371.9,18,470(-4),,,,[東] 成島英春,芹澤精一,,200805050703
17,8,16,バイタルシチー,牡2,55,吉田豊,1:37.6,1/2,**,4-4,38.7,17.1,8,456(+6),,,,[東] 相沢郁,友駿ホースクラブ,,200805050703
18,8,18,レッドハイヒール,牝2,54,幸英明,1:37.8,1.1/2,**,1-1,39.7,100.7,14,480(0),,,,[東] 松山将樹,村島昭男,,200805050703
