着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200805010811
1,8,15,ヴァーミリアン,牡6,57,武豊,1:35.3,,**,5-3,35.9,2.4,1,520(+7),,,,[西] 石坂正,サンデーレーシング,9752.8,200805010811
2,5,10,ブルーコンコルド,牡8,57,幸英明,1:35.6,1.3/4,**,4-3,36.2,19.4,7,508(+1),,,,[西] 服部利之,ブルーマネジメント,3900.8,200805010811
3,8,16,ワイルドワンダー,牡6,57,岩田康誠,1:35.9,2,**,8-7,36.3,5.1,3,452(+4),,,,[東] 久保田貴,草間庸文,2450.4,200805010811
4,4,8,ロングプライド,牡4,57,ペリエ,1:36.1,1.1/4,**,11-10,36.3,10.3,4,516(-6),,,,[西] 小野幸治,中井敏雄,1400.0,200805010811
5,6,12,リミットレスビッド,牡9,57,蛯名正義,1:36.2,1/2,**,8-7,36.6,128.6,14,516(0),,,,[西] 加用正,社台レースホース,940.0,200805010811
6,3,5,クワイエットデイ,牡8,57,角田晃一,1:36.3,3/4,**,11-10,36.5,35.7,9,494(-2),,,,[西] 松元省一,サンデーレーシング,,200805010811
7,7,14,デアリングハート,牝6,55,藤田伸二,1:36.5,1.1/4,**,2-2,37.3,36.9,10,424(+7),,,,[西] 藤原英昭,社台レースホース,,200805010811
8,5,9,メイショウトウコン,牡6,57,武幸四郎,1:37.0,3,**,13-12,37.0,14.2,5,462(0),,,,[西] 安田伊佐,松本好雄,,200805010811
9,4,7,ドラゴンファイヤー,牡4,57,安藤勝己,1:37.1,クビ,**,14-14,36.8,14.8,6,460(-14),,,,[東] 久保田貴,窪田芳郎,,200805010811
10,2,3,アンパサンド,牡4,57,戸崎圭太,1:37.3,1.1/4,**,5-7,37.7,118.9,13,478(-10),,,,[地] 池田孝,伊達泰明,,200805010811
11,3,6,メイショウバトラー,牝8,55,福永祐一,1:37.5,1.1/4,**,3-3,38.2,73.3,12,518(0),,,,[西] 高橋成忠,松本好雄,,200805010811
12,1,1,フジノウェーブ,牡6,57,御神本訓,1:37.7,1.1/2,**,14-15,37.2,65.8,11,492(+11),,,,[地] 高橋三郎,大志総合企画,,200805010811
13,7,13,ビッググラス,牡7,57,今野忠成,1:37.8,クビ,**,5-3,38.5,194.0,16,530(-4),,,,[地] 高橋三郎,坪野谷和平,,200805010811
14,1,2,ノボトゥルー,牡12,57,田中勝春,1:37.9,1/2,**,8-12,37.9,165.7,15,456(0),,,,[西] 森秀行,ＬＳ．Ｍ,,200805010811
15,6,11,ヴィクトリー,牡4,57,後藤浩輝,1:38.9,6,**,1-1,39.8,23.1,8,494(+6),,,,[西] 音無秀孝,近藤英子,,200805010811
中,2,4,フィールドルージュ,牡6,57,横山典弘,,,**,,,5.0,2,498(+2),,,,[西] 西園正都,地田勝三,,200805010811
