着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200803010212
1,2,4,マイネルグロッソ,牡6,57,大野拓弥,1:09.8,,**,8-6,35.7,26.1,9,514(-8),,,,[東] 清水英克,サラブレッドクラブ・ラフィアン,1099.0,200803010212
2,3,5,ディスパージョン,牝4,55,宮崎北斗,1:09.8,クビ,**,4-3,36.0,61.9,14,464(+8),,,,[東] 高市圭二,ヒダカ・ブリーダーズ・ユニオン,434.0,200803010212
3,6,12,レンデフルール,牝4,55,太宰啓介,1:10.0,1,**,5-5,36.1,3.2,1,444(-2),,,,[西] 音無秀孝,グリーンファーム,267.0,200803010212
4,7,13,ウインドストーム,牡5,57,西田雄一,1:10.0,クビ,**,2-1,36.4,15.6,7,486(-10),,,,[東] 堀井雅広,中村昭博,160.0,200803010212
5,6,11,ゴールドネオ,牡4,57,北村友一,1:10.3,2,**,12-14,35.9,47.1,11,490(+2),,,,[西] 領家政蔵,ゴールドレーシング,105.0,200803010212
6,5,9,ボムシェル,牝5,55,鮫島良太,1:10.3,アタマ,**,8-6,36.2,12.6,6,446(-4),,,,[西] 藤沢則雄,ターフ・スポート,,200803010212
7,5,10,タガノマスタング,牡5,57,赤木高太,1:10.3,ハナ,**,12-11,36.0,8.2,4,482(-2),,,,[西] 小原伊佐,八木良司,,200803010212
8,4,8,ソリッドラヴ,セ6,57,安藤光彰,1:10.4,1/2,**,12-11,36.0,99.0,16,460(-6),,,,[東] 菊川正達,山上和良,,200803010212
9,2,3,コアレスレーサー,牡4,57,勝浦正樹,1:10.5,1/2,**,15-14,35.8,47.3,12,530(-4),,,,[東] 成島英春,小林昌志,,200803010212
10,7,14,トラストフェリチタ,牡4,57,柴山雄一,1:10.7,3/4,**,16-16,35.6,80.5,15,448(-6),,,,[東] 土田稔,菅波雅巳,,200803010212
11,3,6,チキリランバダ,牝4,55,中舘英二,1:10.9,1.1/2,**,1-2,37.3,6.5,3,452(-14),,,,[西] 梅田康雄,ちきり組合,,200803010212
12,8,15,マルターズクラシカ,牝4,55,木幡初広,1:10.9,クビ,**,3-3,37.2,27.8,10,470(+8),,,,[東] 堀井雅広,藤田与志男,,200803010212
13,8,16,ローズオットー,牝4,55,菊沢隆徳,1:11.0,1/2,**,8-6,36.9,4.7,2,480(0),,,,[東] 萩原清,池谷誠一,,200803010212
14,1,2,デュヌラルテ,牝4,55,川田将雅,1:11.1,クビ,**,5-10,37.1,10.9,5,448(-4),,,,[東] 堀宣行,グリーンファーム,,200803010212
15,4,7,リネンフィールド,牝4,55,南田雅昭,1:11.1,ハナ,**,11-11,36.9,20.8,8,474(+2),,,,[東] 南田美知,戸山光男,,200803010212
16,1,1,ファッシオドンナ,牝4,55,江田照男,1:11.1,ハナ,**,5-6,37.2,49.5,13,472(-16),,,,[東] 大江原哲,平田修,,200803010212
