着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200801010601
1,5,8,パスピエ,牝2,54,岩田康誠,1:29.7,,**,1-1-1,36.6,17.0,7,420(-14),,,,[西] 小崎憲,吉田勝己,500.0,200801010601
2,4,6,クーデグレイス,牝2,54,横山典弘,1:30.1,2.1/2,**,6-6-4,36.6,3.3,1,458(+2),,,,[東] 栗田博憲,吉田勝己,200.0,200801010601
3,5,7,カネトシコウショウ,牡2,54,秋山真一,1:30.1,クビ,**,6-4-4,36.7,9.2,5,466(-2),,,,[西] 中村均,兼松利男,130.0,200801010601
4,8,14,セイウンウィスパー,牡2,54,勝浦正樹,1:30.3,1.1/4,**,11-10-8,36.5,32.2,10,462(+4),,,,[東] 水野貴広,西山茂行,75.0,200801010601
5,1,1,ガリアーノ,牡2,54,池添謙一,1:30.3,ハナ,**,12-12-12,36.3,14.0,6,444(+2),,,,[西] 池添兼雄,キャロットファーム,50.0,200801010601
6,2,2,シルクメビウス,牡2,54,和田竜二,1:30.4,クビ,**,9-8-8,36.8,20.4,8,464(+4),,,,[西] 領家政蔵,シルク,,200801010601
7,6,10,コスモピグマン,牡2,51,丸田恭介,1:30.4,クビ,**,12-14-14,36.1,109.7,13,456(-2),,,,[東] 伊藤伸一,ビッグレッドファーム,,200801010601
8,4,5,ブレーヴゴールド,牡2,54,藤岡佑介,1:30.5,1/2,**,9-10-11,36.7,36.9,11,446(+4),,,,[東] 高木登,磯波勇,,200801010601
9,3,3,アイディンパワー,牡2,54,藤田伸二,1:30.6,クビ,**,4-4-4,37.2,4.5,2,462(+2),,,,[西] 本田優,米井勝,,200801010601
10,7,12,マキノワールド,牡2,54,大野拓弥,1:30.9,2,**,12-12-12,36.9,110.1,14,448(+2),,,,[東] 土田稔,島宮萬喜,,200801010601
11,7,11,メジロブラボー,牝2,54,長谷川浩,1:31.2,2,**,6-8-8,37.6,44.1,12,456(+4),,,,[西] 北出成人,メジロ牧場,,200801010601
12,3,4,タイキジャガー,牡2,54,松岡正海,1:31.4,1,**,4-6-7,37.9,28.0,9,458(+4),,,,[東] 伊藤圭三,大樹ファーム,,200801010601
13,6,9,ドレッシー,牝2,54,安藤勝己,1:31.5,3/4,**,2-2-2,38.3,5.4,3,466(+8),,,,[西] 鮫島一歩,ガーベラパークスタッド,,200801010601
14,8,13,ウインリーズン,牡2,53,三浦皇成,1:31.7,1.1/4,**,2-2-2,38.5,7.9,4,444(+2),,,,[東] 加藤征弘,ウイン,,200801010601
