着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200806020401
1,5,10,プライドオブキング,牡3,56,内田博幸,1:13.8,,**,3-2,38.3,3.8,2,512(+16),,,,[東] 国枝栄,社台レースホース,500.0,200806020401
2,4,8,スイートグラーツ,牝3,54,蛯名正義,1:14.0,1.1/2,**,4-4,38.4,9.0,3,410(+2),,,,[東] 高橋祥泰,和田啓子,200.0,200806020401
3,5,9,バイヨン,牡3,56,横山典弘,1:14.1,1/2,**,5-5,38.4,1.6,1,434(-8),,,,[東] 萩原清,キャロットファーム,130.0,200806020401
4,6,12,ヒロノグレガ,牡3,53,三浦皇成,1:14.2,3/4,**,1-1,38.9,20.4,5,478(+12),,,,[東] 清水美波,山内広,75.0,200806020401
5,7,14,エプソムスティーヴ,牡3,56,川田将雅,1:14.9,4,**,5-6,39.2,18.1,4,480(+2),,,,[東] 中野栄治,ジャパン・ホースマン・クラブ,50.0,200806020401
6,3,5,エクサイズタックス,牡3,56,柄崎将寿,1:15.2,1.3/4,**,7-6,39.2,244.3,12,490(-4),,,,[東] 内藤一雄,加藤信之,,200806020401
7,3,6,クレージーエッグ,牝3,54,小野次郎,1:15.2,クビ,**,10-9,38.5,82.7,9,420(-8),,,,[東] 中川公成,加藤信之,,200806020401
8,6,11,バードダムール,牝3,54,木幡初広,1:15.4,1,**,8-8,39.1,29.9,7,458(+4),,,,[東] 大和田稔,阿部幸暉,,200806020401
9,2,3,メイクアフェイブル,牡3,56,後藤浩輝,1:15.4,アタマ,**,2-2,40.0,98.3,10,468(-2),,,,[東] 国枝栄,吉田勝己,,200806020401
10,8,16,キタサンフシチョウ,牝3,54,武士沢友,1:15.7,1.3/4,**,11-11,38.9,146.1,11,450(-4),,,,[東] 中野渡清,大野商事,,200806020401
11,4,7,バシケーン,牡3,56,大庭和弥,1:16.3,3.1/2,**,9-9,39.7,263.1,13,434(+8),,,,[東] 高橋義博,石橋英郎,,200806020401
12,1,2,ロマンフィールズ,牝3,54,石橋脩,1:18.5,大,**,13-12,40.2,461.5,14,434(-4),,,,[東] 石栗龍彦,小野博郷,,200806020401
13,7,13,ゲゼルシャフト,牡3,56,高山太郎,1:18.6,1/2,**,12-12,40.9,699.7,15,468(0),,,,[東] 佐藤全弘,ヒダカ・ブリーダーズ・ユニオン,,200806020401
14,1,1,テツキチダイオー,牡3,56,北村宏司,1:20.4,大,**,14-14,40.7,24.0,6,500(0),,,,[東] 坂本勝美,村田哲朗,,200806020401
15,2,4,タイムトゥブギ,牝3,54,田中勝春,1:24.8,大,**,14-15,45.1,77.1,8,456(0),,,,[東] 蛯名信広,グランド牧場,,200806020401
取,8,15,ニシノグレキング,セ3,56,戸崎圭太,,,**,,,---,,計不,,,,[東] 武藤善則,西山茂行,,200806020401
