着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200701020308
1,8,10,ファンドリウェーブ,牡3,54,幸英明,1:44.3,,**,2-2-2-2,35.8,3.4,1,442(-2),,,,[西] 田中章博,水戸富雄,740.0,200701020308
2,1,1,ウッドウインド,牝3,52,古川吉洋,1:44.3,クビ,**,1-1-1-1,35.9,3.7,3,510(-2),,,,[西] 南井克巳,社台レースホース,300.0,200701020308
3,3,3,テンジンニチオー,牡3,54,勝浦正樹,1:44.5,1.1/4,**,4-3-3-3,35.8,21.2,7,450(+6),,,,[東] 松山康久,テンジン,190.0,200701020308
4,4,4,ケリーズナカヤマ,牝6,52,的場勇人,1:44.7,1.1/4,**,4-3-3-3,36.0,20.6,5,460(+6),,,,[東] 武藤善則,中山牧場,110.0,200701020308
5,5,5,アブソルートダンス,牝5,55,池添謙一,1:44.9,1.1/4,**,2-3-3-3,36.3,3.6,2,464(+6),,,,[西] 飯田雄三,ユートピア牧場,74.0,200701020308
6,6,7,ホットカフェ,牡6,54,小島太一,1:45.0,1/2,**,7-7-6-6,36.1,35.4,9,510(+4),,,,[東] 小島太,西川恭子,,200701020308
7,7,9,キラメキパスワード,牝4,55,小林徹弥,1:45.0,クビ,**,11-10-11-10,35.8,53.1,10,434(-2),,,,[西] 福島信晴,ディアレスト,,200701020308
8,8,11,アイノグレゴリー,牡4,57,北村浩平,1:45.1,1/2,**,4-6-6-6,36.3,21.1,6,436(-4),,,,[西] 安達昭夫,田中充,,200701020308
9,2,2,ライトモーション,牝4,55,柴山雄一,1:45.1,ハナ,**,7-7-6-6,36.2,33.8,8,420(-6),,,,[東] 高松邦男,柳橋俊昭,,200701020308
10,6,6,テンシノライアン,牡3,51,黛弘人,1:45.3,1.1/4,**,9-10-9-6,36.3,5.5,4,476(+4),,,,[西] 田所秀孝,杉谷枡夫,,200701020308
11,7,8,オフィシャル,牡4,54,草野太郎,1:46.1,5,**,9-7-9-11,37.1,78.9,11,476(-2),,,,[東] 山田要一,松平恭司,,200701020308
