着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200803010210
1,3,5,エールスタンス,牝5,55,川田将雅,1:48.7,,**,14-15-12-6,36.5,25.3,8,438(+6),,,,[東] 武市康男,吉田照哉,1099.0,200803010210
2,8,16,ベルフリー,牡5,57,石橋脩,1:49.3,3.1/2,**,16-16-15-13,36.6,5.2,3,510(0),,,,[西] 西園正都,サンデーレーシング,434.0,200803010210
3,4,7,ダノンスイショウ,牝5,55,小野次郎,1:49.6,1.3/4,**,12-12-12-6,37.5,3.3,1,498(+8),,,,[東] 加藤征弘,ダノックス,267.0,200803010210
4,2,3,プリンシペデルソル,牡6,57,中舘英二,1:49.6,クビ,**,3-3-3-2,38.1,4.3,2,488(-2),,,,[東] 小島太,キャロットファーム,160.0,200803010210
5,4,8,コスモリリー,牝4,55,柴山雄一,1:49.9,1.3/4,**,8-9-10-11,38.0,46.1,12,402(-12),,,,[東] 畠山吉宏,ビッグレッドファーム,105.0,200803010210
6,7,13,オーソリティバイオ,牡4,57,北村友一,1:49.9,クビ,**,1-2-1-1,38.5,15.6,6,518(+38),,,,[西] 領家政蔵,バイオ,,200803010210
7,8,15,テイエムウミナリ,牡4,57,中村将之,1:50.2,2,**,6-7-5-6,38.5,90.3,14,470(+8),,,,[西] 新川恵,竹園正繼,,200803010210
8,1,1,マシーン,牡5,57,高橋智大,1:50.4,1.1/4,**,8-8-8-6,38.6,110.9,15,470(-8),,,,[東] 大久保洋,大原詔宏,,200803010210
9,5,9,トミケンラピッド,牝6,55,勝浦正樹,1:50.4,ハナ,**,10-9-5-3,38.7,43.6,10,444(-14),,,,[東] 水野貴広,冨樫賢二,,200803010210
10,2,4,ハギノアスラン,セ4,57,鮫島良太,1:50.6,1.1/4,**,11-12-14-13,38.3,44.1,11,426(-12),,,,[西] 松田国英,日隈良江,,200803010210
11,3,6,ダノンデインヒル,牡4,57,青木芳之,1:50.8,1.1/4,**,14-11-8-11,39.0,8.1,4,504(-10),,,,[東] 藤沢和雄,ダノックス,,200803010210
12,1,2,サンエンタティナー,セ4,57,西田雄一,1:51.2,2.1/2,**,2-1-2-3,39.8,31.6,9,444(-2),,,,[東] 岩戸孝樹,加藤信之,,200803010210
13,7,14,サインオブゴッド,牡5,57,大野拓弥,1:51.3,1/2,**,3-5-3-3,39.7,9.6,5,480(-8),,,,[東] 杉浦宏昭,木浪巖,,200803010210
14,6,11,フロントダッシュ,牡4,57,赤木高太,1:51.5,1,**,6-5-5-6,39.8,18.2,7,464(0),,,,[西] 小島貞博,池田豊治,,200803010210
15,5,10,マルターズドラドラ,セ5,57,畑端省吾,1:53.4,大,**,12-14-15-15,40.7,158.8,16,424(-8),,,,[西] 吉田直弘,藤田与志男,,200803010210
中,6,12,アスタースピーラー,セ4,57,秋山真一,,,**,3-3-10-15,,57.8,13,478(-5),,,,[西] 中竹和也,加藤久枝,,200803010210
