着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200703030511
1,2,2,オーバーカムオール,牡3,55,古川吉洋,2:00.9,,**,5-5-4-2,36.3,3.5,2,490(-4),,,,[東] 古賀慎明,河村祥史,1474.5,200703030511
2,8,9,アースクリスハーン,牡4,57,野元昭嘉,2:00.9,クビ,**,3-3-2-2,36.5,5.0,3,506(-8),,,,[西] 野元昭,松山増男,587.0,200703030511
3,3,3,ハギノメトロポリス,牡7,57,石橋脩,2:01.4,3,**,7-6-4-4,36.7,17.7,7,468(-2),,,,[西] 鮫島一歩,日隈良江,363.5,200703030511
4,8,8,シンボリモーガン,セ7,57,津村明秀,2:01.5,クビ,**,7-8-7-6,36.6,9.4,5,428(+6),,,,[東] 鈴木伸尋,シンボリ牧場,220.0,200703030511
5,4,4,サケダイスキ,牡4,57,中舘英二,2:01.5,アタマ,**,1-1-1-1,37.4,2.7,1,480(-2),,,,[東] 奥平雅士,臼井義太郎,145.0,200703030511
6,6,6,アドマイヤスペース,牝3,53,的場勇人,2:01.5,クビ,**,3-3-4-6,36.8,8.7,4,442(+18),,,,[東] 的場均,近藤利一,,200703030511
7,1,1,マコトジョワイユー,牝5,55,田中克典,2:01.6,1/2,**,9-9-7-6,36.7,28.3,8,438(+4),,,,[西] 橋本寿正,眞壁明,,200703030511
8,5,5,ニシノアンサー,牡4,57,木幡初広,2:01.9,1.3/4,**,2-2-2-4,37.6,15.0,6,472(-4),,,,[東] 水野貴広,西山茂行,,200703030511
9,7,7,グランプリゴールド,牡7,57,小林慎一,2:03.8,大,**,5-6-7-9,38.9,79.4,9,454(0),,,,[西] 矢作芳人,北側雅司,,200703030511
