着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200705020107
1,8,14,スズノメヒョー,牝3,54,蛯名正義,1:38.4,,**,3-2,37.0,4.5,2,468(-2),,,,[東] 伊藤正徳,小紫芳夫,700.0,200705020107
2,1,1,オーシャンルミナス,牝3,54,江田照男,1:39.5,7,**,1-1,38.5,21.5,8,464(+4),,,,[東] 平井雄二,大野數芳,280.0,200705020107
3,8,13,サニーラブカフェ,牝3,54,吉永護,1:39.6,クビ,**,10-8,37.5,10.2,4,478(+2),,,,[東] 小島太,西川恭子,180.0,200705020107
4,5,7,モンテグリーン,牝3,54,小林淳一,1:39.8,1.1/4,**,13-11,37.5,52.5,11,460(-2),,,,[東] 田村康仁,毛利喜昭,110.0,200705020107
5,4,6,ケージーシルキー,牝3,54,吉田豊,1:40.0,1,**,13-14,37.5,36.9,10,490(+6),,,,[東] 斎藤誠,川井五郎,70.0,200705020107
6,4,5,ラフアップ,牝3,54,後藤浩輝,1:40.2,1.1/4,**,8-7,38.3,2.6,1,474(-4),,,,[東] 萩原清,サンデーレーシング,,200705020107
7,6,9,シーソング,牝3,54,柴田善臣,1:40.2,アタマ,**,10-11,38.0,14.7,7,434(-8),,,,[東] 勢司和浩,芹澤精一,,200705020107
8,7,11,アヤメ,牝3,54,田中勝春,1:40.4,1.1/4,**,3-2,39.1,10.7,5,472(-2),,,,[東] 矢野照正,ローレルレーシング,,200705020107
9,7,12,シーズアレディ,牝3,54,武士沢友,1:40.4,クビ,**,6-5,38.6,107.3,12,452(+2),,,,[東] 菊川正達,ミルファーム,,200705020107
10,2,2,ハッピービーチ,牝3,54,横山典弘,1:40.7,1.3/4,**,8-8,38.7,6.3,3,454(-2),,,,[東] 久保田貴,青山洋一,,200705020107
11,5,8,エースハーバー,牝3,54,松岡正海,1:40.7,クビ,**,2-2,39.4,26.4,9,466(0),,,,[東] 松山康久,新川敏弘,,200705020107
12,3,3,フォージドアックス,牝3,54,村田一誠,1:40.9,1.1/2,**,12-11,38.6,449.7,14,436(-2),,,,[東] 佐藤全弘,三登,,200705020107
13,3,4,ファイトソング,牝3,54,北村宏司,1:41.0,クビ,**,3-5,39.2,11.3,6,460(+6),,,,[東] 伊藤圭三,グランド牧場,,200705020107
14,6,10,ローランメモリー,牝3,54,松田大作,1:44.4,大,**,6-8,42.4,417.5,13,448(-6),,,,[東] 水野貴広,斉藤敏博,,200705020107
