着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200401020710
1,5,9,プリモスター,牝3,53,五十嵐冬,1:10.4,,,3-2,35.5,7.4,4,468(+4),,,,[東] 伊藤圭三,グランド牧場,1097.6,200401020710
2,3,4,キタサンオウシャン,牝5,55,芹沢純一,1:10.4,クビ,,7-6,35.3,15.3,6,442(-4),,,,[西] 安田伊佐,大野商事,433.6,200401020710
3,4,7,テイエムオアシス,牝3,53,高井彰大,1:10.7,1.3/4,,1-1,36.0,22.0,8,490(-4),,,,[西] 新川恵,竹園正繼,266.8,200401020710
4,2,2,ワールドドン,牡3,55,池添謙一,1:10.7,ハナ,,3-2,35.8,5.0,3,478(-6),,,,[西] 鮫島一歩,池田豊治,160.0,200401020710
5,5,8,ソルティースイート,牝3,53,川島洋人,1:10.7,クビ,,2-2,35.9,164.7,15,418(-8),,,,[地] 鈴木英二,白瀬常雄,105.0,200401020710
6,2,3,キクカネイチャ,牡3,55,勝浦正樹,1:10.9,1,,5-6,35.9,9.2,5,480(-8),,,,[東] 石毛善彦,飯島和吉,,200401020710
7,1,1,ミルキーパンダ,牝3,53,北村浩平,1:11.0,1/2,,8-6,35.7,86.8,11,438(-2),,,,[西] 谷潔,栗本博晴,,200401020710
8,8,14,ジョイントスターズ,牡3,55,横山典弘,1:11.0,アタマ,,8-6,35.7,19.4,7,460(+20),,,,[東] 岩戸孝樹,岡田牧雄,,200401020710
9,7,13,レオカーディナル,牡4,57,菊沢隆徳,1:11.0,クビ,,5-5,36.0,4.7,2,488(-6),,,,[東] 萱野浩二,レオ,,200401020710
10,3,5,ワンダーストライカ,牡3,55,武士沢友,1:11.1,クビ,,8-10,35.8,147.5,14,444(-4),,,,[東] 富田一幸,山本信行,,200401020710
11,4,6,イケソシアル,牝5,55,小林徹弥,1:11.1,アタマ,,13-13,35.6,38.3,9,464(-2),,,,[西] 土門一美,池田豊治,,200401020710
12,8,15,ピサノキャニオン,牝4,56,藤田伸二,1:11.5,2.1/2,,12-10,36.1,2.7,1,504(+2),,,,[東] 藤沢和雄,市川義美,,200401020710
13,6,11,アメイジングバイオ,牝4,55,千田輝彦,1:11.6,1/2,,8-10,36.3,113.4,12,454(+2),,,,[西] 藤原英昭,バイオ,,200401020710
14,7,12,ニシノテンニョ,牝6,55,川島信二,1:12.2,3.1/2,,13-14,36.7,58.0,10,438(-2),,,,[東] 石栗龍彦,西山茂行,,200401020710
15,6,10,ハイジノイノリ,牝3,53,斉藤正弘,1:12.6,2.1/2,,15-15,36.8,130.0,13,446(-6),,,,[地] 柳沢好美,長浜秋一,,200401020710
