着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200801010404
1,3,3,テーオーストーム,牡2,54,岩田康誠,1:50.1,,**,2-3-3-3,35.8,3.6,1,476(0),,,,[西] 藤岡健一,小笹公也,700.0,200801010404
2,7,11,マイネルプロートス,牡2,54,松岡正海,1:50.2,3/4,**,1-1-1-1,36.2,14.6,7,484(0),,,,[西] 加用正,サラブレッドクラブ・ラフィアン,280.0,200801010404
3,2,2,タイトルパート,牝2,54,安藤勝己,1:50.2,アタマ,**,9-9-8-6,35.4,4.7,2,498(0),,,,[西] 鮫島一歩,吉田勝己,180.0,200801010404
4,4,4,ニシノラブキング,牡2,54,四位洋文,1:50.4,1,**,12-12-10-9,35.4,15.6,8,478(0),,,,[西] 浅見秀一,西山茂行,110.0,200801010404
5,4,5,ワールドレデー,牝2,54,秋山真一,1:50.7,2,**,3-5-3-3,36.4,46.3,10,494(0),,,,[西] 池添兼雄,本間茂,70.0,200801010404
6,7,10,ダンツフロント,牡2,54,藤田伸二,1:51.3,3.1/2,**,3-2-2-2,37.2,5.4,4,524(0),,,,[西] 中村均,山元哲二,,200801010404
7,1,1,ヴィーヴァサルーテ,牡2,54,横山典弘,1:51.4,3/4,**,5-7-8-9,36.6,12.4,5,504(0),,,,[西] 作田誠二,芹澤精一,,200801010404
8,5,7,フリソ,牡2,53,的場勇人,1:51.5,1/2,**,8-7-3-3,37.2,75.7,12,474(0),,,,[東] 小島茂之,藤田孟司,,200801010404
9,8,13,ハイゲート,牡2,53,北村友一,1:51.8,1.3/4,**,9-10-10-11,36.7,13.4,6,514(0),,,,[東] 小笠倫弘,宇田豊,,200801010404
10,6,8,ショウナンサンガ,牡2,54,蛯名正義,1:52.1,2,**,5-5-7-7,37.6,5.1,3,482(0),,,,[東] 二ノ宮敬,湘南,,200801010404
11,8,12,リッカアリュール,牡2,54,池添謙一,1:53.4,8,**,5-3-3-7,39.2,24.4,9,466(0),,,,[西] 鶴留明雄,立花幸雄,,200801010404
12,6,9,オンリースカイ,牡2,52,三浦皇成,1:54.1,4,**,9-10-10-12,39.0,64.2,11,492(0),,,,[西] 中竹和也,ノースヒルズマネジメント,,200801010404
13,5,6,チェリーブレーヴ,牡2,54,武幸四郎,2:05.5,大,**,13-13-13-13,46.3,134.6,13,484(0),,,,[東] 中野渡清,櫻井倶楽部,,200801010404
