着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200601010809
1,7,8,トウショウナイト,牡5,56,武士沢友,2:39.9,,**,6-5-4-2,35.2,3.8,2,474(-4),,,,[東] 保田一隆,藤田衛成,2425.9,200601010809
2,5,5,コスモバルク,牡5,62,武幸四郎,2:40.6,4,**,1-1-1-1,36.2,3.7,1,500(+6),,,,[地] 田部和則,ビッグレッドファーム,967.4,200601010809
3,6,7,ブリットレーン,牡7,55,秋山真一,2:40.8,1.1/4,**,10-10-7-6,35.9,48.6,8,488(+2),,,,[東] 加賀武見,ヒダカ・ブリーダーズ・ユニオン,603.7,200601010809
4,4,4,ダンスウイザード,牡7,55,津村明秀,2:41.1,1.3/4,**,8-8-7-6,36.2,63.3,10,466(-2),,,,[東] 宗像義忠,サウスニア,360.0,200601010809
5,8,10,ルーベンスメモリー,牡6,55,菊沢隆徳,2:41.4,2,**,6-7-4-2,36.6,4.0,3,482(+4),,,,[東] 高橋祥泰,社台レースホース,240.0,200601010809
6,1,1,ゴーウィズウィンド,牡7,55,柴山雄一,2:41.7,1.3/4,**,3-3-2-2,37.1,21.1,6,462(-4),,,,[東] 国枝栄,岡田牧雄,,200601010809
7,7,9,サンデーストリーム,セ5,55,北村宏司,2:42.1,2.1/2,**,8-8-7-6,37.1,29.3,7,492(+10),,,,[東] 藤沢和雄,小林英一,,200601010809
8,8,11,メジロコルセア,牡4,55,藤田伸二,2:42.3,1.1/4,**,2-2-2-2,37.8,5.1,4,478(0),,,,[東] 大久保洋,メジロ商事,,200601010809
9,3,3,ウエノマルクン,牡7,55,内田博幸,2:42.7,2.1/2,**,4-3-4-9,38.0,57.2,9,452(-1),,,,[地] 松浦裕之,大東正由,,200601010809
10,6,6,ハイフレンドトライ,牡6,55,岩田康誠,2:43.3,3.1/2,**,10-11-11-10,37.7,7.2,5,486(+6),,,,[東] 根本康広,高橋顕輔,,200601010809
11,2,2,ホウザングラマー,牝7,53,加藤士津,2:46.7,大,**,4-5-7-10,41.8,251.1,11,460(0),,,,[東] 加藤和宏,加藤豊三,,200601010809
