着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200706010207
1,4,7,トーセンベルボーイ,牡5,57,横山典弘,2:35.8,,**,5-7-6-4,39.8,4.0,3,480(-2),,,,[東] 栗田博憲,島川隆哉,740.0,200706010207
2,6,12,ラヴサンシャイン,牡5,57,木幡初広,2:36.0,1,**,5-4-4-2,40.3,3.2,1,522(-4),,,,[東] 佐々木亜,鈴木芳夫,300.0,200706010207
3,8,16,マルブツクロス,牡4,54,大野拓弥,2:36.6,3.1/2,**,3-3-1-1,41.1,3.3,2,534(+4),,,,[東] 杉浦宏昭,大澤毅,190.0,200706010207
4,2,4,サクセスガーウィン,牡4,56,北村宏司,2:37.4,5,**,5-4-6-5,41.4,38.4,9,484(0),,,,[東] 久保田貴,高嶋哲,110.0,200706010207
5,2,3,リネンメイン,牡8,57,南田雅昭,2:37.8,2.1/2,**,14-14-10-8,41.4,252.9,15,538(+8),,,,[東] 南田美知,戸山光男,74.0,200706010207
6,5,9,ブレイブバニヤン,牡4,56,小野次郎,2:38.0,1,**,9-11-6-6,42.0,24.9,7,474(+4),,,,[東] 秋山雅一,ディアレスト,,200706010207
7,7,13,グレードエース,牡5,54,千葉直人,2:38.1,3/4,**,12-11-10-8,41.6,95.2,11,450(+10),,,,[東] 菅原泰夫,榊原秀雄,,200706010207
8,1,1,エアクラマン,牡4,56,バルジュ,2:38.3,1.1/4,**,12-11-9-8,42.0,21.7,6,468(+4),,,,[東] 田中清隆,ラッキーフィールド,,200706010207
9,6,11,ロックアウト,牡4,56,後藤浩輝,2:38.5,1,**,9-9-12-12,41.7,11.6,5,526(+6),,,,[東] 鈴木康弘,池谷誠一,,200706010207
10,4,8,マイネルコレドール,牡4,53,田中博康,2:39.1,3.1/2,**,15-15-14-13,42.1,136.7,12,532(+28),,,,[東] 佐々木亜,サラブレッドクラブ・ラフィアン,,200706010207
11,5,10,ロイバークラフト,牡4,56,武士沢友,2:39.2,3/4,**,2-2-2-2,43.7,136.8,13,470(+4),,,,[東] 岩戸孝樹,村中徳広,,200706010207
12,7,14,クリスタルバッハ,牡5,57,蛯名正義,2:39.3,クビ,**,8-9-4-8,43.5,8.9,4,486(+10),,,,[東] 伊藤圭三,小川直司,,200706010207
13,8,15,エスペランサワン,牡5,57,石橋脩,2:39.3,クビ,**,4-4-3-6,43.7,171.3,14,514(-2),,,,[東] 柴田政人,加藤春夫,,200706010207
14,1,2,キープウイン,牡5,57,田中剛,2:41.6,大,**,9-7-12-15,44.8,91.3,10,454(-6),,,,[東] 柄崎孝,杵臼斉藤牧場,,200706010207
15,3,6,ローランフェルド,牡4,56,菊沢隆徳,2:48.4,大,**,16-16-14-14,51.4,354.2,16,498(+12),,,,[東] 中野渡清,斉藤敏博,,200706010207
16,3,5,ウインドストーム,牡4,56,中舘英二,2:49.1,4,**,1-1-14-16,52.1,38.2,8,504(+12),,,,[東] 堀井雅広,中村昭博,,200706010207
