着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200703010310
1,7,13,ワンダースター,牡3,56,安藤光彰,1:09.5,,**,4-3,36.0,5.1,3,506(-4),,,,[西] 領家政蔵,山本信行,1040.6,200703010310
2,1,1,ワンダーフルーツ,牝3,54,中舘英二,1:09.7,1.1/4,**,4-3,36.2,2.4,1,444(+6),,,,[東] 和田正道,グリーンファーム,411.6,200703010310
3,8,15,タカラタロウ,牡3,56,赤木高太,1:09.9,1.1/4,**,3-3,36.6,13.6,6,466(0),,,,[東] 田村康仁,村山義男,255.8,200703010310
4,6,12,ニシノクイック,牡3,56,田辺裕信,1:10.0,1/2,**,6-6,36.3,12.1,5,490(+4),,,,[東] 上原博之,西山茂行,150.0,200703010310
5,3,5,トキノムテキ,牡3,56,長谷川浩,1:10.0,ハナ,**,1-1,36.8,10.1,4,506(0),,,,[西] 大根田裕,中野正則,100.0,200703010310
6,8,16,メイショウバルドル,牡3,56,高橋亮,1:10.0,クビ,**,6-8,36.3,38.1,9,456(-6),,,,[西] 松永昌博,松本好雄,,200703010310
7,6,11,デザフィオ,牡3,56,吉田隼人,1:10.0,クビ,**,14-14,35.4,17.6,7,444(-6),,,,[東] 堀井雅広,ターフ・スポート,,200703010310
8,2,4,カネスラファール,牡3,56,石橋脩,1:10.1,1/2,**,10-9,36.1,64.7,10,474(+2),,,,[東] 根本康広,杉澤光雄,,200703010310
9,7,14,ブラックマンバ,牡3,56,小野次郎,1:10.1,ハナ,**,10-9,36.1,207.7,12,440(0),,,,[東] 西塚安夫,天羽礼治牧場,,200703010310
10,2,3,シャルトリューズ,牝3,54,津村明秀,1:10.1,ハナ,**,2-2,36.9,4.3,2,472(+2),,,,[東] 伊藤圭三,伊達秀和,,200703010310
11,3,6,モエレスプライト,牝3,54,古川吉洋,1:10.2,1/2,**,12-12,36.0,340.6,16,428(-8),,,,[西] 野元昭,中村正子,,200703010310
12,4,7,エレメンタルソング,牝3,54,菊沢隆徳,1:10.2,ハナ,**,14-14,35.6,32.2,8,408(-6),,,,[東] 武藤善則,グリーンファーム,,200703010310
13,1,2,セーリア,牝3,54,二本柳壮,1:10.3,1/2,**,6-6,36.6,227.8,13,420(+8),,,,[東] 武市康男,岡田隆寛,,200703010310
14,5,9,モエレゼネラリスト,牡3,56,須貝尚介,1:10.3,ハナ,**,9-9,36.4,95.2,11,476(-10),,,,[西] 須貝彦三,中村和夫,,200703010310
15,5,10,トミノドリーム,牝3,54,高山太郎,1:10.4,クビ,**,16-16,35.6,322.0,14,446(-10),,,,[東] 佐藤全弘,富岡喜平,,200703010310
16,4,8,シアトルレイナ,牝3,54,芹沢純一,1:10.8,2.1/2,**,13-13,36.4,330.1,15,430(-8),,,,[東] 石毛善彦,木村牧場,,200703010310
