着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200805010310
1,1,2,ナックルパート,牡4,57,後藤浩輝,1:23.7,,**,1-1,37.6,3.3,1,510(-8),,,,[西] 石坂正,水上行雄,1524.1,200805010310
2,6,12,スリーセブンスピン,牡5,57,江田照男,1:23.7,ハナ,**,2-2,37.3,13.5,6,490(+12),,,,[東] 堀井雅広,菅原太陽,602.6,200805010310
3,8,15,プロセッション,牡5,57,柴田善臣,1:23.7,アタマ,**,11-9,35.7,4.2,2,456(+4),,,,[東] 堀宣行,吉田照哉,376.3,200805010310
4,7,13,カネスラファール,牡4,57,北村宏司,1:24.0,2,**,5-5,36.5,14.9,7,484(+2),,,,[東] 根本康広,杉澤光雄,220.0,200805010310
5,4,8,テンザンモビール,牡5,57,内田博幸,1:24.0,ハナ,**,11-12,35.7,5.6,3,496(-6),,,,[西] 矢作芳人,平野澄江,148.0,200805010310
6,7,14,エイシンハンコック,牡5,57,岩田康誠,1:24.2,1.1/4,**,4-4,37.0,7.6,4,468(-12),,,,[西] 大久保龍,平井豊光,,200805010310
7,3,6,セトノヒット,牡7,57,田中勝春,1:24.2,クビ,**,7-9,36.2,12.6,5,478(-6),,,,[西] 西園正都,難波経雄,,200805010310
8,5,10,オオヒメ,牝4,55,柄崎将寿,1:24.5,2,**,9-7,36.7,40.1,11,510(+8),,,,[東] 柄崎孝,武田豊文,,200805010310
9,6,11,ロードウィズダム,牡6,57,吉田豊,1:24.5,ハナ,**,14-15,36.0,108.1,14,500(+2),,,,[東] 高木登,ロードホースクラブ,,200805010310
10,8,16,ジェイケイボストン,セ5,57,蛯名正義,1:24.7,1.1/4,**,14-12,36.4,38.3,10,524(+2),,,,[東] 坂本勝美,小谷野次郎,,200805010310
11,4,7,シャドウハーツ,牡7,57,蓑島靖典,1:24.8,1/2,**,9-9,36.8,275.0,16,488(-4),,,,[東] 田中清隆,飯塚知一,,200805010310
12,2,3,トラベルシチー,牡5,57,丹内祐次,1:25.0,1.1/4,**,3-3,38.1,23.3,8,522(+4),,,,[西] 崎山博樹,友駿ホースクラブ,,200805010310
13,1,1,エドノドリーム,牡7,57,横山義行,1:25.2,1.1/4,**,11-12,36.9,205.8,15,470(0),,,,[東] 内藤一雄,遠藤喜松,,200805010310
14,5,9,プライベートプラン,牡5,57,藤田伸二,1:25.3,3/4,**,7-7,37.5,29.4,9,550(+18),,,,[東] 小島太,ノースヒルズマネジメント,,200805010310
15,3,5,ダイワインパクト,牡6,57,武士沢友,1:25.4,1/2,**,16-16,36.5,44.1,12,510(+6),,,,[東] 増沢末夫,大城敬三,,200805010310
16,2,4,マグマカザン,牡4,57,土谷智紀,1:26.3,5,**,5-6,38.6,88.0,13,486(-4),,,,[東] 古賀慎明,廣松金次,,200805010310
