着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200706010512
1,7,11,グレートバルサー,牡6,57,蛯名正義,1:49.4,,**,8-7-8-5,34.3,8.0,4,476(+2),,,,[東] 国枝栄,大河内一権,1050.0,200706010512
2,8,13,ウインクルセイド,牡5,56,津村明秀,1:49.4,クビ,**,5-5-2-2,35.0,5.1,2,476(+8),,,,[東] 鈴木伸尋,ウイン,420.0,200706010512
3,4,5,タイキスピリッツ,牡5,56,塚田祥雄,1:49.5,1/2,**,1-1-1-1,35.3,7.4,3,496(+4),,,,[東] 藤沢和雄,大樹ファーム,260.0,200706010512
4,7,12,アクトナチュラリー,牡8,57,田中勝春,1:49.7,1,**,3-3-2-2,35.3,25.0,9,476(+10),,,,[東] 小笠倫弘,臼田浩義,160.0,200706010512
5,8,14,セイコーアカデミー,牡8,57,穂苅寿彦,1:50.0,1.3/4,**,9-9-6-5,35.1,10.0,6,466(+16),,,,[東] 鈴木康弘,竹國弘,105.0,200706010512
6,2,2,ヤマニンスプラウト,牝6,55,北村宏司,1:50.1,1/2,**,9-9-10-9,34.9,8.2,5,454(+2),,,,[東] 清水利章,土井肇,,200706010512
7,5,7,タイキコジャック,牡8,54,的場勇人,1:50.1,ハナ,**,7-7-4-4,35.5,106.4,12,494(-2),,,,[東] 高橋祥泰,大樹ファーム,,200706010512
8,4,6,プロスパードン,牡5,57,村田一誠,1:50.1,クビ,**,2-2-5-5,35.3,35.9,10,442(-2),,,,[東] 星野忍,三枝栄二,,200706010512
9,5,8,ニシノフリーダム,牡4,56,横山典弘,1:50.2,クビ,**,11-11-10-9,35.0,2.8,1,522(-12),,,,[東] 鈴木伸尋,西山茂行,,200706010512
10,6,9,ハギノメトロポリス,牡7,57,石橋脩,1:50.2,クビ,**,12-12-12-12,34.7,12.7,7,474(-6),,,,[西] 鮫島一歩,日隈良江,,200706010512
11,3,4,ビッグサクセス,牡6,57,大庭和弥,1:50.3,クビ,**,3-3-8-11,35.3,77.4,11,482(+6),,,,[東] 岩城博俊,牧畠清久,,200706010512
12,3,3,トゥーエニワン,牡7,54,田中博康,1:50.5,1.1/2,**,12-13-12-12,35.0,159.3,13,460(-6),,,,[東] 高橋祥泰,大東牧場,,200706010512
13,1,1,オンワードハヤテ,牡7,57,小野次郎,1:52.0,9,**,5-5-6-5,37.1,21.2,8,516(+26),,,,[東] 沢峰次,オンワード牧場,,200706010512
取,6,10,アサクサゼットキ,牡4,56,菊沢隆徳,,,**,,,---,,計不,,,,[東] 河野通文,田原源一郎,,200706010512
