着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200703010705
1,2,3,シュウザンゴールド,牡3,56,長谷川浩,1:49.9,,**,4-4-6-4,34.8,3.4,2,466(-16),,,,[東] 増沢末夫,平光良,500.0,200703010705
2,4,7,ニュージェットラン,牡3,56,石橋脩,1:49.9,クビ,**,2-2-1-1,35.0,3.4,1,442(-6),,,,[東] 柴田政人,本間茂,200.0,200703010705
3,7,13,ウインドビュー,牡3,56,田辺裕信,1:50.2,2,**,9-11-4-4,35.2,45.0,11,472(+2),,,,[東] 堀井雅広,中村昭博,130.0,200703010705
4,7,14,ダノンビート,牡3,53,荻野琢真,1:50.4,1,**,12-14-15-14,34.7,242.7,16,480(0),,,,[西] 小崎憲,ダノックス,75.0,200703010705
5,2,4,トーセンステディ,牡3,56,嘉藤貴行,1:50.4,ハナ,**,9-9-10-10,35.0,18.8,7,490(+2),,,,[東] 清水美波,島川隆哉,50.0,200703010705
6,4,8,マイネルスペランザ,牡3,53,田中博康,1:50.4,ハナ,**,12-11-12-12,34.9,18.9,8,482(0),,,,[東] 矢野進,サラブレッドクラブ・ラフィアン,,200703010705
7,5,9,ケイエスショーキ,牡3,56,難波剛健,1:50.4,クビ,**,7-7-8-7,35.2,14.2,6,500(+6),,,,[西] 高橋成忠,キヨシサービス,,200703010705
8,6,11,ダイワタキオン,牡3,56,吉田隼人,1:50.5,1/2,**,8-9-8-7,35.3,7.4,3,462(-6),,,,[東] 二ノ宮敬,大城敬三,,200703010705
9,3,5,オメガバリュー,牡3,55,塚田祥雄,1:50.6,3/4,**,4-4-6-7,35.5,7.5,4,474(-12),,,,[西] 平田修,原礼子,,200703010705
10,8,15,ジョイフルティアラ,牝3,54,勝浦正樹,1:50.7,クビ,**,2-3-2-2,35.8,10.3,5,476(+6),,,,[東] 中野渡清,青木照吉,,200703010705
11,3,6,ポイントオブビュー,牡3,56,川島信二,1:51.0,2,**,1-1-2-2,36.1,27.1,10,494(0),,,,[西] 松永幹夫,ノースヒルズマネジメント,,200703010705
12,6,12,エンドレスヒロイン,牝3,54,野元昭嘉,1:51.1,1/2,**,16-15-12-12,35.6,114.8,13,448(-16),,,,[西] 梅内忍,ローレルレーシング,,200703010705
13,1,2,ブラックウィッチ,牝3,52,中村将之,1:51.1,ハナ,**,9-7-10-10,35.7,89.6,12,430(+2),,,,[西] 佐山優,林順子,,200703010705
14,8,16,ダンツクロフネ,牡3,56,左海誠二,1:51.1,クビ,**,4-4-4-6,36.1,25.4,9,460(0),,,,[東] 伊藤伸一,山元哲二,,200703010705
15,5,10,イチライスキャン,牝3,51,北村友一,1:51.2,クビ,**,15-16-16-16,35.3,234.0,15,432(-10),,,,[西] 沖芳夫,市来静夫,,200703010705
16,1,1,スガノグローリアス,牡3,56,岩部純二,1:51.2,クビ,**,12-11-14-14,35.6,228.1,14,456(-8),,,,[東] 松永康利,菅原光太郎,,200703010705
