着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200805050202
1,6,10,カウアイレーン,牝2,54,後藤浩輝,1:34.7,,**,1-1,35.1,1.2,1,450(+2),,,,[東] 和田正道,社台レースホース,500.0,200805050202
2,2,3,マイティースルー,牝2,54,吉田豊,1:35.1,2.1/2,**,10-11,34.2,9.0,2,478(+10),,,,[東] 大久保洋,キャロットファーム,200.0,200805050202
3,3,5,ゴールドケー,牝2,54,松岡正海,1:35.5,2.1/2,**,10-8,34.9,193.6,13,452(-2),,,,[東] 清水利章,馬場瑛八郎,130.0,200805050202
4,8,15,コスモディアナ,牝2,54,石橋脩,1:35.6,3/4,**,5-5,35.3,50.3,6,452(+8),,,,[東] 畠山重則,ビッグレッドファーム,75.0,200805050202
5,8,14,ストロングレダ,牝2,54,内田博幸,1:35.7,1/2,**,3-3,35.8,9.3,3,464(+12),,,,[東] 坂本勝美,村木篤,50.0,200805050202
6,7,13,ダッパーユウ,牝2,54,田中勝春,1:36.0,2,**,14-14,34.7,55.6,7,436(0),,,,[東] 佐藤全弘,北所直人,,200805050202
7,5,8,ミヤビオウカ,牝2,54,柴山雄一,1:36.0,クビ,**,12-12,34.9,57.1,8,472(0),,,,[東] 稗田研二,村上義勝,,200805050202
8,4,6,アポロアネラ,牝2,54,藤田伸二,1:36.1,クビ,**,3-3,36.2,73.3,9,468(0),,,,[東] 柴崎勇,アポロサラブレッドクラブ,,200805050202
9,4,7,シャルトルブルー,牝2,53,浜中俊,1:36.2,3/4,**,8-8,35.6,38.9,5,420(+2),,,,[東] 手塚貴久,キャロットファーム,,200805050202
10,3,4,ミラクルリベロ,牝2,54,蛯名正義,1:36.4,1,**,5-6,36.0,116.4,10,454(0),,,,[東] 清水美波,岡田牧雄,,200805050202
11,7,12,スイートフローラル,牝2,54,北村宏司,1:36.6,1.1/4,**,5-6,36.2,125.9,11,450(0),,,,[東] 坂本勝美,シンボリ牧場,,200805050202
12,6,11,オペラシューズ,牝2,54,吉田隼人,1:37.5,5,**,2-2,37.8,31.6,4,424(-2),,,,[東] 二ノ宮敬,飯田良枝,,200805050202
13,1,1,グローリアスクイン,牝2,54,江田照男,1:37.5,クビ,**,8-8,36.9,133.2,12,504(-2),,,,[東] 大和田稔,谷研司,,200805050202
14,2,2,タイムサイクル,牝2,54,郷原洋司,1:37.7,1.1/4,**,12-13,36.5,256.8,14,418(+8),,,,[東] 郷原洋行,吉橋計,,200805050202
15,5,9,ショウナンアデーヤ,牝2,54,柴田善臣,1:37.7,アタマ,**,15-15,36.1,359.4,15,416(+4),,,,[東] 本間忍,国本哲秀,,200805050202
