着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200705030502
1,8,15,ドンアドヴァイタ,牡3,56,内田博幸,1:24.9,,**,3-3,37.5,3.4,2,478(-4),,,,[東] 鈴木伸尋,山田貢一,500.0,200705030502
2,3,6,ギシアラバストロ,牡3,56,北村宏司,1:25.0,3/4,**,3-3,37.6,16.7,7,462(0),,,,[東] 古賀慎明,吉田和美,200.0,200705030502
3,3,5,ディーアールボーイ,牡3,56,江田照男,1:25.4,2.1/2,**,1-1,38.3,13.2,5,458(+2),,,,[東] 田子冬樹,長谷川文夫,130.0,200705030502
4,1,1,マイネルビスタ,牡3,56,坂井英光,1:25.7,1.3/4,**,5-5,38.2,36.6,9,440(0),,,,[東] 稲葉隆一,サラブレッドクラブ・ラフィアン,75.0,200705030502
5,1,2,シルキーキュート,牝3,54,武士沢友,1:26.7,6,**,5-6,39.0,16.6,6,486(+16),,,,[東] 保田一隆,シルク,50.0,200705030502
6,4,7,サトノユウジ,牡3,56,武豊,1:27.2,3,**,8-8,38.9,3.1,1,506(+4),,,,[東] 的場均,里見治,,200705030502
7,6,11,アトミック,牡3,53,草野太郎,1:27.7,3,**,13-12,38.3,85.7,11,438(-12),,,,[東] 坂本勝美,宮崎利男,,200705030502
8,7,14,トウショウツアラー,牡3,56,松岡正海,1:27.9,1.1/4,**,2-2,40.7,4.8,3,486(0),,,,[東] 土田稔,トウショウ産業,,200705030502
9,2,4,アラリス,牡3,56,蛯名正義,1:28.0,クビ,**,7-7,40.1,25.8,8,520(0),,,,[東] 勢司和浩,キャロットファーム,,200705030502
10,2,3,ダイヤフェニックス,牡3,56,後藤浩輝,1:28.1,1/2,**,16-14,38.3,8.7,4,544(0),,,,[東] 二ノ宮敬,ダイヤモンドファーム,,200705030502
11,4,8,スズジャングルオー,牡3,56,柴田善臣,1:28.2,1/2,**,11-9,39.5,99.4,12,462(0),,,,[東] 本間忍,小紫芳夫,,200705030502
12,5,9,シャイニングヒル,セ3,56,藤田伸二,1:29.4,7,**,13-12,40.0,62.6,10,406(0),,,,[東] 国枝栄,広尾レース,,200705030502
13,7,13,スプリングハウル,牡3,56,田中剛,1:30.5,7,**,11-10,41.4,233.9,15,498(0),,,,[東] 沢峰次,加藤春夫,,200705030502
14,5,10,レオタックル,牡3,56,今野忠成,1:31.6,7,**,13-15,41.4,133.5,13,474(0),,,,[東] 岩戸孝樹,レオ,,200705030502
15,6,12,アズユーディザイア,牝3,51,黛弘人,1:32.0,2.1/2,**,9-15,41.8,313.6,16,466(0),,,,[東] 清水英克,宮川純造,,200705030502
16,8,16,ハクサンファースト,牡3,56,田辺裕信,1:38.2,大,**,10-10,49.0,209.7,14,480(0),,,,[東] 浅野洋一,篠崎恒雄,,200705030502
