着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200701020604
1,5,6,ニシノドーン,牡3,56,古川吉洋,1:46.8,,**,9-8-4-2,39.1,2.8,2,444(0),,,,[西] 宮本博,西山茂行,500.0,200701020604
2,5,7,マッキーパシオン,牝3,54,小林徹弥,1:47.5,4,**,13-13-11-5,38.8,36.4,7,470(+2),,,,[西] 梅田康雄,薪浦亨,200.0,200701020604
3,6,9,グランドアムール,牝3,51,黛弘人,1:47.7,1.1/4,**,4-4-2-2,40.4,16.4,4,424(+2),,,,[東] 大江原哲,グランド牧場,130.0,200701020604
4,2,2,ファストドロウ,牡3,56,芹沢純一,1:48.2,3,**,1-1-1-1,41.1,36.0,6,558(+4),,,,[東] 上原博之,キャロットファーム,75.0,200701020604
5,1,1,トゥルーノース,牡3,56,藤岡佑介,1:48.2,クビ,**,5-4-4-2,40.5,1.9,1,488(-4),,,,[東] 堀宣行,広尾レース,50.0,200701020604
6,7,11,メタリック,牡3,56,菊沢隆徳,1:49.0,5,**,8-8-10-11,40.6,21.2,5,460(0),,,,[東] 手塚貴久,ターフ・スポート,,200701020604
7,6,8,キングロッチ,牡3,56,田辺裕信,1:50.1,7,**,9-8-8-6,42.1,81.3,9,478(+6),,,,[東] 成島英春,高橋文男,,200701020604
8,8,13,グラスハーブ,牡3,56,勝浦正樹,1:50.4,2,**,6-7-8-8,42.3,38.8,8,480(-4),,,,[東] 栗田博憲,鈴木芳夫,,200701020604
9,7,10,スノーショコラ,牝3,51,草野太郎,1:50.6,1,**,6-4-7-8,42.8,83.2,10,440(-14),,,,[東] 加賀武見,ディアレスト,,200701020604
10,3,3,ミッシーマインド,牝3,51,丸田恭介,1:51.4,5,**,2-2-4-8,43.8,208.3,11,456(-10),,,,[東] 古賀史生,水上行雄,,200701020604
11,8,12,カシノベガスター,牡3,53,佐藤聖也,1:52.1,4,**,9-11-12-12,43.0,247.1,12,462(-4),,,,[東] 二本柳俊,柏木務,,200701020604
12,4,4,ビッグアジュール,牡3,56,柴原央明,1:52.4,2,**,12-12-13-12,42.9,397.4,13,502(+10),,,,[東] 浅野洋一,菅井牧場,,200701020604
13,4,5,ヤマタケフレッシュ,牡3,53,小島太一,1:52.7,2,**,3-3-2-6,45.3,7.0,3,482(0),,,,[東] 畠山重則,山中和子,,200701020604
