着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200705010403
1,4,5,ペルサントクリール,牝3,54,横山典弘,1:39.9,,**,4-5,38.4,8.2,4,548(0),,,,[東] 古賀史生,前田幸治,700.0,200705010403
2,3,3,トーセンゴライアス,牡3,56,北村宏司,1:40.2,1.3/4,**,4-4,38.8,3.5,3,562(0),,,,[東] 増沢末夫,島川隆哉,280.0,200705010403
3,8,14,セーフアズロック,牝3,54,内田博幸,1:41.8,10,**,2-2,40.5,3.0,1,424(0),,,,[東] 萩原清,臼田浩義,180.0,200705010403
4,4,6,ミウラジェット,牡3,56,江田照男,1:41.9,クビ,**,1-1,40.8,136.2,12,444(0),,,,[東] 佐々木亜,佐藤明,110.0,200705010403
5,8,13,メイキンマジック,牡3,56,小野次郎,1:42.2,2,**,2-2,40.9,33.1,8,510(0),,,,[東] 石毛善彦,加藤愼一,70.0,200705010403
6,7,11,ヒシエンデバー,牡3,56,田中勝春,1:42.8,3.1/2,**,11-9,38.6,128.7,11,458(0),,,,[東] 小笠倫弘,阿部雅一郎,,200705010403
7,6,10,マダムチヨ,牝3,54,石神深一,1:42.8,クビ,**,4-5,41.2,262.8,14,490(0),,,,[東] 大和田稔,滝川一,,200705010403
8,2,2,バーニングウイル,牡3,56,吉田豊,1:42.9,クビ,**,8-8,39.9,204.4,13,484(0),,,,[東] 大久保洋,大原詔宏,,200705010403
9,3,4,ティグラート,牝3,54,柴山雄一,1:43.2,1.3/4,**,10-12,38.4,29.5,6,522(0),,,,[東] 久保田貴,キャロットファーム,,200705010403
10,5,7,ヤマノキングアロー,牡3,53,的場勇人,1:43.2,クビ,**,9-10,38.8,29.6,7,530(0),,,,[東] 的場均,山泉恵宥,,200705010403
11,5,8,ミンナナカヨシ,牡3,56,小林淳一,1:44.4,7,**,14-13,39.2,41.1,9,526(0),,,,[東] 土田稔,神山幸男,,200705010403
12,7,12,アイスカービング,牝3,54,蛯名正義,1:45.0,3.1/2,**,7-7,43.2,3.4,2,452(0),,,,[東] 二ノ宮敬,下河邉行雄,,200705010403
13,1,1,ニシノビジュー,牡3,56,村田一誠,1:45.3,2,**,11-14,39.9,74.9,10,468(0),,,,[東] 尾形充弘,西山茂行,,200705010403
14,6,9,グランドフェロー,牝3,54,岩田康誠,1:46.5,7,**,11-11,42.0,20.8,5,464(0),,,,[東] 高松邦男,グランド牧場,,200705010403
