着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200805050211
1,2,4,スクリーンヒーロー,牡4,53,蛯名正義,2:30.8,,**,5-5-5-5,33.7,8.9,3,484(+4),,,,[東] 鹿戸雄一,吉田照哉,5912.0,200805050211
2,7,14,ジャガーメイル,牡4,56,石橋脩,2:31.0,1.1/2,**,9-9-7-8,33.4,4.8,2,474(0),,,,[東] 堀宣行,吉田和美,2332.0,200805050211
3,5,10,アルナスライン,牡4,58,内田博幸,2:31.0,クビ,**,6-6-6-6,33.6,2.4,1,540(-10),,,,[西] 松元茂樹,サンデーレーシング,1516.0,200805050211
4,2,3,テイエムプリキュア,牝5,49,石神深一,2:31.2,1.1/4,**,2-2-2-2,36.4,58.8,12,498(+2),,,,[西] 五十嵐忠,竹園正繼,870.0,200805050211
5,6,11,ダンスアジョイ,牡7,53,松岡正海,2:31.3,1/2,**,15-16-16-16,32.9,21.4,8,512(+8),,,,[西] 松永幹夫,加藤泰章,580.0,200805050211
6,4,7,ネヴァブション,牡5,57.5,北村宏司,2:31.5,1,**,7-7-7-8,33.9,16.9,7,488(+8),,,,[東] 伊藤正徳,ティーエイチ,,200805050211
7,1,2,トウショウシロッコ,牡5,56,吉田豊,2:31.7,1.1/2,**,13-13-13-12,33.8,10.8,5,480(+6),,,,[東] 大久保洋,トウショウ産業,,200805050211
8,8,16,キングアーサー,牡5,54,藤田伸二,2:31.9,1.1/2,**,10-10-10-12,34.0,9.8,4,544(0),,,,[東] 藤沢和雄,社台レースホース,,200805050211
9,8,15,トウカイトリック,牡6,58,幸英明,2:32.0,クビ,**,8-8-7-6,34.6,28.8,10,442(-8),,,,[西] 野中賢二,内村正則,,200805050211
10,1,1,ヤマニンアラバスタ,牝7,52,江田照男,2:32.1,3/4,**,16-15-14-14,34.1,81.6,13,452(+2),,,,[東] 星野忍,土井肇,,200805050211
11,7,13,ゴーウィズウィンド,牡9,50,田中博康,2:32.5,2.1/2,**,2-3-3-3,35.8,232.3,16,468(0),,,,[東] 国枝栄,岡田牧雄,,200805050211
12,3,6,マキハタサイボーグ,セ6,56,田中勝春,2:32.6,3/4,**,13-14-15-15,34.3,81.8,14,502(+4),,,,[西] 新川恵,槇本牧場,,200805050211
13,4,8,マンハッタンスカイ,牡4,56,柴田善臣,2:32.7,クビ,**,4-4-4-4,35.9,22.7,9,528(+2),,,,[西] 浅見秀一,ヒダカ・ブリーダーズ・ユニオン,,200805050211
14,5,9,セタガヤフラッグ,牡5,50,武士沢友,2:32.9,1.1/2,**,1-1-1-1,38.2,122.4,15,454(+2),,,,[東] 阿部新生,千田幸信,,200805050211
15,3,5,エアジパング,セ5,54,後藤浩輝,2:33.0,1/2,**,10-10-10-11,35.2,32.6,11,444(-10),,,,[西] 藤原英昭,ラッキーフィールド,,200805050211
16,6,12,メイショウカチドキ,牡8,54,浜中俊,2:33.7,4,**,10-10-10-8,36.1,16.0,6,482(-6),,,,[西] 庄野靖志,松本好雄,,200805050211
