着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200805030307
1,3,6,スズノネイビー,牡4,57,後藤浩輝,1:16.9,,**,1-1,36.8,1.8,1,500(-6),,,,[東] 小西一男,小紫芳夫,740.0,200805030307
2,2,4,トウショウツアラー,牡4,57,柴田善臣,1:17.2,2,**,13-12,35.7,18.1,5,494(-2),,,,[東] 土田稔,トウショウ産業,300.0,200805030307
3,7,14,ダイワウイザード,牡4,57,松岡正海,1:17.6,2.1/2,**,5-5,36.9,12.7,4,440(+4),,,,[東] 池上昌弘,大城敬三,190.0,200805030307
4,6,12,カサデアンジェラ,牝5,52,三浦皇成,1:18.1,3,**,3-3,37.7,7.0,3,492(0),,,,[東] 手塚貴久,サンデーレーシング,110.0,200805030307
5,8,15,レフォルマ,牡6,57,内田博幸,1:18.2,クビ,**,2-2,38.0,5.5,2,506(+2),,,,[東] 石毛善彦,社台レースホース,74.0,200805030307
6,5,10,カマーバンド,牝5,55,柴山雄一,1:18.4,1.1/2,**,9-10,37.1,19.4,6,488(+8),,,,[東] 高橋裕,水上行雄,,200805030307
7,1,2,ペイアテンション,牝4,55,木幡初広,1:18.5,クビ,**,3-3,38.1,42.2,9,526(+10),,,,[東] 平井雄二,鈴木芳夫,,200805030307
8,5,9,エイワンタッチ,牡6,56,的場勇人,1:18.6,3/4,**,13-12,37.1,82.8,14,516(-12),,,,[東] 高市圭二,荒木誠,,200805030307
9,8,16,ロックリヴァー,牡5,57,津村明秀,1:18.6,クビ,**,6-7,37.6,53.1,12,462(0),,,,[東] 相沢郁,福島徳佑,,200805030307
10,7,13,サルバドールボス,牡4,57,江田照男,1:18.8,1.1/2,**,9-10,37.5,27.6,7,508(-6),,,,[東] 斎藤宏,則武輝一,,200805030307
11,4,7,フジヤマロマン,牝4,55,藤田伸二,1:18.9,クビ,**,8-8,37.7,37.8,8,478(+10),,,,[西] 小崎憲,藤本龍也,,200805030307
12,4,8,リヒター,牝5,52,黛弘人,1:19.2,1.3/4,**,15-14,37.5,78.4,13,482(-8),,,,[東] 大江原哲,井上一郎,,200805030307
13,2,3,ホッコーターゲット,牡4,54,丸田恭介,1:19.8,3.1/2,**,16-16,37.0,278.4,16,432(-17),,,,[東] 松永康利,矢部幸一,,200805030307
14,3,5,ツルギダケ,牡4,57,小林淳一,1:19.8,クビ,**,9-8,38.7,46.9,10,536(-24),,,,[東] 清水美波,吉田義昭,,200805030307
15,6,11,シルクマタドール,牡4,57,石橋脩,1:20.8,6,**,6-5,40.1,50.4,11,476(+5),,,,[東] 柴田政人,シルク,,200805030307
16,1,1,マイムマイム,牝4,55,戸崎圭太,1:21.2,2.1/2,**,9-14,39.5,200.6,15,428(-1),,,,[東] 谷原義明,田島榮二郎,,200805030307
