着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200806020604
1,5,10,ポリバレント,牡3,56,蛯名正義,1:54.1,,**,3-3-2-2,38.1,4.1,2,474(0),,,,[東] 二ノ宮敬,渡邊隆,700.0,200806020604
2,7,13,インオラリオ,牡3,56,武豊,1:55.0,5,**,1-1-1-1,39.2,1.8,1,512(0),,,,[西] 池江泰寿,藤田孟司,280.0,200806020604
3,1,1,チョウイチリュウ,セ3,56,武士沢友,1:56.3,8,**,9-9-9-6,38.9,22.5,6,450(0),,,,[東] 伊藤正徳,松本兼吉,180.0,200806020604
4,1,2,ロッチビスティー,牡3,56,内田博幸,1:56.3,ハナ,**,9-10-10-9,38.3,7.2,3,534(0),,,,[東] 尾形充弘,ビスティーズホースユニオン,110.0,200806020604
5,4,8,カカロット,牡3,56,後藤浩輝,1:56.4,1/2,**,2-2-2-3,40.4,56.1,9,506(0),,,,[東] 粕谷昌央,池谷誠一,70.0,200806020604
6,7,14,バイロンシチー,牡3,54,松岡正海,1:57.1,4,**,8-7-6-6,40.3,18.0,5,460(0),,,,[東] 相沢郁,友駿ホースクラブ,,200806020604
7,8,16,モンテフェニックス,牡3,56,横山典弘,1:57.4,2,**,6-5-5-5,40.8,12.7,4,476(0),,,,[東] 田村康仁,毛利喜昭,,200806020604
8,2,3,スマートパーティー,牡3,56,幸英明,1:58.2,5,**,3-3-4-4,41.9,131.7,12,490(0),,,,[東] 戸田博文,大川徹,,200806020604
9,3,5,ファイアナカヤマ,牡3,56,吉田豊,1:58.9,4,**,7-7-6-8,42.1,36.6,8,498(0),,,,[東] 高市圭二,中山牧場,,200806020604
10,4,7,ムーンブリザード,牡3,56,小林淳一,1:59.1,1.1/2,**,12-12-11-11,40.3,239.1,14,492(0),,,,[東] 土田稔,小池憲章,,200806020604
11,3,6,タイキサハラ,牡3,56,北村宏司,2:00.4,8,**,14-14-16-15,40.6,108.1,10,476(0),,,,[東] 古賀慎明,大樹ファーム,,200806020604
12,5,9,マルターズスクープ,牡3,56,田中勝春,2:00.4,アタマ,**,14-14-13-12,40.9,28.9,7,510(0),,,,[東] 手塚貴久,藤田与志男,,200806020604
13,2,4,アースフリーダム,牡3,56,木幡初広,2:00.7,2,**,5-5-8-9,43.5,163.8,13,524(0),,,,[東] 宗像義忠,松山増男,,200806020604
14,8,15,コガラシ,牡3,56,柴田大知,2:00.7,アタマ,**,12-12-13-12,41.1,258.7,16,442(0),,,,[東] 大和田稔,谷研司,,200806020604
15,6,11,ミツアキドンドン,牡3,56,池田鉄平,2:00.8,1/2,**,16-16-13-15,41.2,253.3,15,500(0),,,,[東] 畠山重則,山本光明,,200806020604
16,6,12,ウインフェイブル,牡3,56,津村明秀,2:02.4,10,**,11-11-12-14,43.1,127.3,11,448(0),,,,[東] 鈴木伸尋,ウイン,,200806020604
