着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200805010312
1,8,15,アクロスザヘイブン,牝5,55,柴田善臣,1:38.7,,**,2-2,35.6,3.5,1,490(+4),,,,[東] 中野隆良,社台レースホース,1050.0,200805010312
2,7,14,サンマルセイコー,牝5,54,大野拓弥,1:38.7,アタマ,**,11-4,35.4,9.8,6,490(+2),,,,[東] 鈴木勝美,相馬勇,420.0,200805010312
3,8,16,クレヨンルージュ,牝5,55,松岡正海,1:39.0,1.3/4,**,4-4,35.8,6.5,3,500(+2),,,,[東] 栗田博憲,齊藤四方司,260.0,200805010312
4,4,8,メジロレント,牝5,55,勝浦正樹,1:39.2,1,**,7-9,35.6,12.3,7,474(-6),,,,[東] 菊川正達,メジロ牧場,160.0,200805010312
5,4,7,エイダイタカラブネ,牝5,55,木幡初広,1:39.2,アタマ,**,4-4,35.9,51.4,10,490(-2),,,,[東] 鈴木康弘,東振牧場,105.0,200805010312
6,3,6,ゴットザビート,牝6,55,吉田隼人,1:39.2,クビ,**,14-9,35.6,7.7,4,476(-6),,,,[東] 栗田博憲,社台レースホース,,200805010312
7,2,3,リングジアラーム,牝4,55,横山典弘,1:39.3,クビ,**,13-15,35.4,4.6,2,530(0),,,,[東] 松山康久,社台レースホース,,200805010312
8,7,13,コスモキャンディス,牝6,55,内田博幸,1:39.5,1.1/2,**,7-8,36.0,55.3,11,468(-4),,,,[東] 根本康広,ビッグレッドファーム,,200805010312
9,1,2,タイセイガイア,牝5,55,柴山雄一,1:39.5,クビ,**,1-1,36.6,48.0,9,476(+2),,,,[東] 加藤和宏,田中成奉,,200805010312
10,3,5,アミュレット,牝7,55,蛯名正義,1:39.6,3/4,**,4-4,36.3,56.2,12,420(-16),,,,[東] 菊川正達,ユートピア牧場,,200805010312
11,6,11,アンジェトワール,牝5,55,石橋脩,1:39.8,1,**,11-14,36.0,104.3,15,436(+2),,,,[東] 久保田貴,飯田良枝,,200805010312
12,6,12,ウインアンジェラス,牝4,55,津村明秀,1:39.8,ハナ,**,2-2,36.7,8.0,5,468(-6),,,,[東] 鈴木伸尋,ウイン,,200805010312
13,2,4,フローレストウブ,牝6,55,大庭和弥,1:39.8,クビ,**,16-15,35.9,70.3,13,468(+4),,,,[東] 佐藤吉勝,真部晴徳,,200805010312
13,5,9,ジャスミンフレイズ,牝5,55,横山義行,1:39.8,同着,**,7-9,36.2,245.6,16,484(-4),,,,[東] 高木登,内藤好江,,200805010312
15,5,10,ランタナ,牝6,55,江田照男,1:39.9,1/2,**,14-9,36.3,75.9,14,444(0),,,,[東] 大江原哲,永野千枝子,,200805010312
16,1,1,ラブリーコンサート,牝4,54,田中博康,1:40.1,1.1/2,**,7-9,36.5,22.6,8,464(+2),,,,[西] 矢作芳人,上茶谷一,,200805010312
