着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200706050701
1,8,16,ローテカリーノ,牝2,54,蛯名正義,1:13.8,,**,9-6,38.3,13.1,4,476(+4),,,,[東] 国枝栄,山科統,500.0,200706050701
2,6,12,レティセントガール,牝2,54,松岡正海,1:13.8,アタマ,**,5-4,38.7,8.9,3,430(+4),,,,[東] 萩原清,池谷誠一,200.0,200706050701
3,4,8,ピュアイグザンプル,牝2,54,吉田隼人,1:14.4,3.1/2,**,5-4,39.2,21.9,7,492(+4),,,,[東] 本郷一彦,嶋田賢,130.0,200706050701
4,1,1,キャスタスペルミー,牝2,54,キネーン,1:14.6,1.1/2,**,7-6,39.3,16.2,5,454(+2),,,,[東] 戸田博文,キャロットファーム,75.0,200706050701
5,5,9,スガノナイナー,牝2,54,木幡初広,1:14.7,クビ,**,2-2,40.2,6.9,2,438(+4),,,,[東] 大和田稔,菅原光太郎,50.0,200706050701
6,2,3,マイミカプリンセス,牝2,54,後藤浩輝,1:14.7,クビ,**,1-1,40.2,1.5,1,506(-4),,,,[東] 高橋裕,尾上松壽,,200706050701
7,1,2,ヒシビギニン,牝2,54,郷原洋司,1:15.3,3.1/2,**,9-10,39.7,31.0,9,504(+2),,,,[東] 中野隆良,阿部雅一郎,,200706050701
8,5,10,ソフィアクィン,牝2,54,伊藤直人,1:15.5,1.1/2,**,9-10,40.0,439.1,16,470(+6),,,,[東] 小林常泰,浦新徳司,,200706050701
9,8,15,ジニアビスティー,牝2,54,勝浦正樹,1:15.7,1,**,12-10,39.9,161.1,12,472(-4),,,,[東] 大江原哲,ビスティーズホースユニオン,,200706050701
10,3,5,キタサンカレン,牝2,54,北村宏司,1:15.8,クビ,**,13-13,39.9,21.0,6,522(+2),,,,[東] 嶋田功,大野商事,,200706050701
11,4,7,アランフェス,牝2,54,大庭和弥,1:15.9,1/2,**,7-9,40.6,140.2,11,476(-2),,,,[東] 高橋義博,海谷幸司,,200706050701
12,6,11,タカイチチアーズ,牝2,51,千葉直人,1:16.1,1.1/4,**,15-15,39.3,400.1,15,414(0),,,,[東] 斎藤宏,高橋一郎,,200706050701
13,2,4,ムーンアイル,牝2,52,田中博康,1:16.2,1/2,**,14-13,40.2,26.9,8,434(+6),,,,[東] 鈴木伸尋,吉田好雄,,200706050701
14,7,13,ベリッシモ,牝2,54,村田一誠,1:17.3,7,**,2-3,42.8,91.2,10,474(0),,,,[東] 本間忍,松本夫佐子,,200706050701
15,3,6,メイクサエル,牝2,54,江田照男,1:18.5,7,**,4-6,43.8,216.8,13,440(-2),,,,[東] 南田美知,玉置辰次,,200706050701
16,7,14,エミセンプー,牝2,51,草野太郎,1:19.2,4,**,16-16,41.6,299.0,14,424(-8),,,,[東] 清水英克,池田豊治,,200706050701
