着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200601010710
1,2,2,ライトニングボール,セ4,57,藤岡佑介,1:29.7,,**,6-6-7,35.4,5.3,3,448(0),,,,[西] 作田誠二,キャロットファーム,1097.6,200601010710
2,6,10,リブレメンテ,牝4,55,津村明秀,1:29.8,3/4,**,1-1-1,36.1,59.9,9,518(+2),,,,[東] 鈴木伸尋,青木基秀,433.6,200601010710
3,6,9,ダノンウイングス,牡3,55,本田優,1:29.9,クビ,**,12-12-3,35.3,10.7,4,442(-4),,,,[東] 萩原清,ダノックス,266.8,200601010710
4,4,5,コパノスイジン,牡4,57,安藤勝己,1:30.0,1/2,**,3-3-3,36.0,2.0,1,478(+10),,,,[東] 上原博之,小林祥晃,160.0,200601010710
5,5,7,アグネスドーン,セ5,57,武幸四郎,1:30.1,3/4,**,6-6-7,35.8,25.7,7,480(+18),,,,[東] 的場均,渡辺孝男,105.0,200601010710
6,3,3,ヤマノジャスティス,牝3,53,宮崎光行,1:30.1,ハナ,**,9-9-10,35.6,123.2,12,484(-12),,,,[地] 松本隆宏,山口明彦,,200601010710
7,3,4,ライクシモーヌ,牝4,55,北村宏司,1:30.1,クビ,**,3-3-3,36.1,40.1,8,498(-8),,,,[東] 栗田博憲,岡田牧雄,,200601010710
8,7,12,ゲイル,牡3,55,岩田康誠,1:30.4,1.3/4,**,5-6-7,36.1,4.2,2,456(-8),,,,[西] 音無秀孝,近藤英子,,200601010710
9,1,1,スズカシャトル,牡5,57,松田大作,1:30.4,ハナ,**,12-13-3,35.6,25.2,6,448(0),,,,[西] 南井克巳,永井啓弍,,200601010710
10,4,6,セイウントップラン,牡4,57,藤田伸二,1:30.6,1.1/2,**,9-9-12,36.1,14.2,5,426(+4),,,,[東] 武藤善則,西山茂行,,200601010710
11,7,11,カネマサパッション,牝3,53,五十嵐冬,1:30.8,1.1/2,**,12-14-14,35.5,101.1,11,500(-10),,,,[地] 堂山芳則,前田政雄,,200601010710
12,5,8,メジロファング,牡4,57,秋山真一,1:30.9,1/2,**,6-9-12,36.4,156.8,14,528(+60),,,,[東] 谷原義明,メジロ牧場,,200601010710
13,8,13,スマートフレンズ,牡3,55,柴山雄一,1:30.9,アタマ,**,2-2-2,37.0,126.6,13,460(+24),,,,[東] 田村康仁,大川徹,,200601010710
14,8,14,ショウナンハイギア,牡3,55,四位洋文,1:31.5,3.1/2,**,9-5-10,37.3,64.3,10,426(-10),,,,[西] 池江泰郎,国本哲秀,,200601010710
