着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200805050403
1,5,7,セイウンリファイン,牡2,55,村田一誠,1:23.6,,**,1-1,34.7,4.5,3,484(+2),,,,[東] 萱野浩二,西山茂行,500.0,200805050403
2,8,13,ケージーカンザクラ,牝2,54,勝浦正樹,1:24.3,4,**,9-9,34.7,10.3,6,448(+6),,,,[東] 水野貴広,川井五郎,200.0,200805050403
3,6,8,ワンツーリターン,牡2,55,後藤浩輝,1:24.3,ハナ,**,13-13,34.4,3.6,2,492(-4),,,,[東] 松山康久,渡邊隆,130.0,200805050403
4,6,9,ディアトウシロウ,牡2,55,松岡正海,1:24.3,クビ,**,4-6,35.0,2.9,1,436(0),,,,[東] 斎藤誠,ディアレスト,75.0,200805050403
5,7,10,タツボストン,牝2,54,柴田善臣,1:24.4,クビ,**,2-2,35.5,7.6,4,438(+8),,,,[東] 根本康広,鈴木昭作,50.0,200805050403
6,7,11,メイストーム,牝2,54,丹内祐次,1:24.6,1.1/4,**,7-7,35.2,161.7,12,410(-22),,,,[東] 清水英克,西谷とき子,,200805050403
7,8,12,エフケーアスコット,牝2,54,宮崎光行,1:24.8,1,**,3-3,35.8,88.2,8,488(0),,,,[東] 小桧山悟,布施貞夫,,200805050403
8,1,1,フライングビーン,牝2,54,小野次郎,1:25.0,1,**,4-4,35.8,8.8,5,462(+2),,,,[東] 阿部新生,小山豊,,200805050403
9,2,2,シルキーモモ,牝2,54,小林淳一,1:25.0,クビ,**,11-9,35.4,95.1,9,458(+2),,,,[東] 大和田稔,シルク,,200805050403
10,4,5,マイネカルミア,牝2,54,川島信二,1:25.1,1/2,**,7-7,35.7,289.2,13,386(+6),,,,[東] 畠山重則,サラブレッドクラブ・ラフィアン,,200805050403
11,5,6,ヤラマイカ,牡2,55,柴山雄一,1:25.3,1.1/2,**,4-4,36.2,160.3,11,488(-6),,,,[東] 浅野洋一,内藤好江,,200805050403
12,3,3,バトルジュディス,牝2,51,伊藤工真,1:25.5,1,**,11-9,35.8,124.1,10,406(+4),,,,[東] 浅野洋一,宮川秋信,,200805050403
13,4,4,ジュテミルフー,牝2,54,内田博幸,1:26.2,4,**,9-9,36.6,58.4,7,432(+4),,,,[東] 武藤善則,井上一郎,,200805050403
