着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200601010312
1,1,1,コマノルカン,牡3,54,藤田伸二,1:28.6,,**,1-1-1,36.1,7.5,3,492(-8),,,,[西] 鮫島一歩,長谷川芳信,740.0,200601010312
2,3,4,コパノスイジン,牡4,57,安藤勝己,1:28.8,1.1/4,**,3-4-3,35.7,2.0,1,468(0),,,,[東] 上原博之,小林祥晃,300.0,200601010312
3,5,7,ライトニングボール,セ4,57,菊沢隆徳,1:28.8,クビ,**,8-7-8,35.4,20.9,8,448(+2),,,,[西] 作田誠二,キャロットファーム,190.0,200601010312
4,6,10,ユノナゲット,牡4,57,四位洋文,1:29.0,1.1/2,**,12-10-10,35.3,9.8,4,496(+6),,,,[東] 伊藤正徳,細川祐季子,110.0,200601010312
5,3,3,アルフォンシーヌ,牝4,55,柴山雄一,1:29.0,クビ,**,8-10-10,35.4,54.8,10,456(+16),,,,[東] 高橋裕,サンデーレーシング,74.0,200601010312
6,7,12,バトルハートオー,牡5,57,岩田康誠,1:29.2,1,**,8-7-8,35.7,19.8,7,498(+2),,,,[西] 矢作芳人,宮川秋信,,200601010312
7,2,2,サンダーロード,牡4,57,山口竜一,1:29.2,ハナ,**,5-7-5,35.8,84.8,12,450(-2),,,,[東] 中川公成,加藤信之,,200601010312
8,4,5,トップオンターフ,牡3,54,北村宏司,1:29.2,ハナ,**,2-2-2,36.5,46.8,9,464(0),,,,[東] 古賀慎明,近藤光子,,200601010312
9,8,14,トップオブサンデー,牡3,54,横山典弘,1:29.2,アタマ,**,14-14-13,34.7,4.8,2,460(0),,,,[東] 伊藤伸一,横瀬兼二,,200601010312
10,4,6,テイエムハーン,牡3,54,秋山真一,1:29.6,2.1/2,**,5-5-5,36.4,18.4,6,470(+12),,,,[西] 新川恵,竹園正繼,,200601010312
11,6,9,アリババシチー,牡3,54,柴原央明,1:29.7,クビ,**,11-13-13,35.9,56.9,11,462(+6),,,,[西] 田中章博,友駿ホースクラブ,,200601010312
12,8,13,リキアイノキセキ,牝4,52,的場勇人,1:29.9,1.1/4,**,12-10-10,36.2,132.8,14,440(+20),,,,[東] 境征勝,高山幸雄,,200601010312
13,5,8,サクラマテンロウ,牡3,51,小島太一,1:30.1,1.1/4,**,3-3-3,37.3,12.3,5,470(-2),,,,[東] 小島太,さくらコマース,,200601010312
14,7,11,ビッグシャトル,牡3,53,津村明秀,1:30.5,2.1/2,**,5-5-5,37.3,113.3,13,504(+8),,,,[西] 南井克巳,ビッグ,,200601010312
