着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200705010109
1,5,5,サープラスシンガー,牡3,56,田中勝春,1:22.1,,**,1-1,34.3,5.2,3,528(0),,,,[東] 宗像義忠,青木基秀,1926.6,200705010109
2,1,1,ウィズディクタット,牡3,56,ペリエ,1:22.3,1.1/4,**,2-2,34.2,3.3,1,488(0),,,,[西] 矢作芳人,加藤守,767.6,200705010109
3,6,6,メダイヨン,牡3,56,後藤浩輝,1:22.5,1.1/2,**,4-4,34.3,3.5,2,446(0),,,,[東] 河野通文,浅田次郎,483.8,200705010109
4,2,2,マイネルサニベル,牡3,57,勝浦正樹,1:22.7,1,**,5-5,34.2,14.8,6,464(+4),,,,[東] 高橋義博,サラブレッドクラブ・ラフィアン,290.0,200705010109
5,3,3,コスモジエラ,牡3,56,吉田豊,1:22.9,1.1/2,**,8-5,34.4,19.3,7,460(+4),,,,[東] 柄崎孝,ビッグレッドファーム,190.0,200705010109
6,7,8,アルシラート,牡3,56,ルメール,1:22.9,アタマ,**,10-9,34.1,8.4,5,470(-4),,,,[西] 森秀行,サウスニア,,200705010109
7,8,10,ケイアイスパイダー,牝3,54,北村宏司,1:23.7,5,**,8-9,34.9,31.2,8,456(-14),,,,[東] 石毛善彦,亀田守弘,,200705010109
8,8,9,ビンチェロ,牡3,56,武豊,1:23.8,1/2,**,7-5,35.3,5.6,4,456(-6),,,,[西] 橋口弘次,サンデーレーシング,,200705010109
9,4,4,ティムガッド,牡3,56,津村明秀,1:24.0,1.1/4,**,2-2,36.0,81.6,9,466(0),,,,[東] 上原博之,伊達秀和,,200705010109
10,7,7,オープンザゲート,牡3,56,安藤勝己,1:24.7,4,**,5-5,36.2,98.7,10,452(-4),,,,[東] 田村康仁,ディアレスト,,200705010109
