着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200803030106
1,5,10,コウヨウアイリーン,牝4,52,宮崎北斗,1:59.4,,**,2-2-2-2,35.2,10.9,6,484(+22),,,,[東] 武藤善則,寺内正光,730.0,200803030106
2,6,11,グリッツェルン,牝3,53,長谷川浩,1:59.5,1/2,**,3-3-3-3,35.2,10.4,5,488(+6),,,,[西] 西浦勝一,水上行雄,290.0,200803030106
3,3,6,コスモザガリア,牝3,53,石橋脩,1:59.6,3/4,**,3-4-4-3,35.2,8.1,4,496(-2),,,,[東] 水野貴広,ビッグレッドファーム,180.0,200803030106
4,4,8,アドマイヤビアン,牝4,54,藤岡康太,1:59.7,3/4,**,5-5-5-5,35.2,130.5,14,420(-8),,,,[西] 橋田満,近藤利一,110.0,200803030106
5,8,15,マジックビクトリア,牝4,55,木幡初広,1:59.7,アタマ,**,7-7-7-7,35.1,4.2,1,454(0),,,,[東] 稲葉隆一,鈴木芳夫,73.0,200803030106
6,7,14,ウォーターセレネ,牝3,53,太宰啓介,1:59.8,クビ,**,10-10-12-12,34.9,70.9,13,416(0),,,,[西] 田所秀孝,山岡正人,,200803030106
7,1,1,サプライズユー,牝4,52,丸田恭介,2:00.1,1.3/4,**,12-10-8-9,35.3,23.8,11,428(-8),,,,[東] 浅野洋一,社台レースホース,,200803030106
8,3,5,スマートレディー,牝3,50,荻野琢真,2:00.2,3/4,**,10-10-12-12,35.2,20.5,9,428(+8),,,,[西] 大久保龍,大川徹,,200803030106
9,8,16,ニシノフェリーチェ,牝4,53,田中健,2:00.2,アタマ,**,5-5-5-5,35.7,17.3,8,424(-12),,,,[西] 浅見秀一,西山茂行,,200803030106
10,7,13,プリティーキャット,牝5,55,安藤光彰,2:00.3,1/2,**,15-16-16-14,34.7,12.2,7,422(-4),,,,[西] 田島良保,武田茂男,,200803030106
11,5,9,ユーピロンユー,牝3,53,郷原洋司,2:00.3,ハナ,**,1-1-1-1,36.2,34.3,12,428(-12),,,,[東] 蛯名信広,袴田精一,,200803030106
12,2,4,プラジェラート,牝5,54,田中博康,2:00.3,アタマ,**,15-14-14-14,35.1,21.7,10,474(0),,,,[東] 鈴木康弘,社台レースホース,,200803030106
13,2,3,ビターオレンジ,牝4,55,中舘英二,2:00.4,1/2,**,12-13-8-9,35.6,4.7,2,438(-12),,,,[東] 萩原清,社台レースホース,,200803030106
14,1,2,マコトヴェロニカ,牝3,53,津村明秀,2:00.7,2,**,7-7-8-7,35.9,143.0,16,424(-13),,,,[東] 武市康男,眞壁明,,200803030106
15,6,12,ディアプリマ,牝3,53,北村友一,2:01.1,2.1/2,**,14-14-15-16,35.6,139.3,15,468(-14),,,,[西] 清水出美,寺田千代乃,,200803030106
16,4,7,プティマカロン,牝3,52,三浦皇成,2:01.2,1/2,**,7-7-8-9,36.4,6.3,3,436(-8),,,,[西] 小島貞博,伊達大雄,,200803030106
