着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200701010711
1,5,7,セルフリスペクト,牡6,57,藤田伸二,1:45.7,,**,3-3-3-1,37.2,6.3,3,500(+4),,,,[東] 鈴木伸尋,臼田浩義,1512.2,200701010711
2,6,9,パピヨンシチー,牡4,57,津村明秀,1:45.7,クビ,**,10-10-10-7,36.5,2.4,1,416(-2),,,,[東] 相沢郁,友駿ホースクラブ,599.2,200701010711
3,4,5,シンボリブラームス,牡3,54,北村友一,1:46.1,2.1/2,**,3-3-5-5,37.3,27.9,9,466(+2),,,,[東] 久保田貴,シンボリ牧場,374.6,200701010711
4,8,12,カネマサデューク,牡6,57,竹之下智,1:46.3,1,**,10-11-10-5,37.1,146.0,13,468(-2),,,,[東] 嶋田潤,植田忠司,220.0,200701010711
5,5,6,グランロワイヤル,牡5,57,武幸四郎,1:46.3,ハナ,**,8-7-6-3,37.4,6.5,4,518(+2),,,,[西] 松田国英,サンデーレーシング,148.0,200701010711
6,6,8,マルブツブラボー,牡6,57,勝浦正樹,1:46.6,1.3/4,**,7-7-6-7,37.6,97.3,12,430(+12),,,,[西] 加用正,大澤毅,,200701010711
7,7,10,アドマイヤベッカム,牡6,57,岩田康誠,1:46.6,クビ,**,2-2-2-2,38.3,18.1,6,484(-16),,,,[東] 河野通文,近藤利一,,200701010711
8,8,13,フルブラッサム,牡5,57,小林徹弥,1:46.8,1.1/4,**,12-13-12-12,37.5,27.1,8,478(-6),,,,[西] 沖芳夫,臼田浩義,,200701010711
9,2,2,タマモグレアー,牡3,54,秋山真一,1:46.8,クビ,**,8-7-6-9,37.9,45.0,10,516(-2),,,,[西] 中竹和也,タマモ,,200701010711
10,3,3,カレンパパ,セ6,57,青木芳之,1:46.9,1/2,**,3-3-4-9,38.2,61.7,11,464(-4),,,,[西] 安田隆行,鈴木隆司,,200701010711
11,7,11,エアサンタムール,牡6,57,横山典弘,1:47.4,3,**,3-3-9-13,38.3,6.2,2,528(+8),,,,[東] 高市圭二,ラッキーフィールド,,200701010711
12,4,4,ピサノペガサス,セ6,57,古川吉洋,1:47.8,2.1/2,**,12-11-13-9,38.2,22.9,7,496(0),,,,[東] 藤沢和雄,市川義美,,200701010711
13,1,1,コンゴウダイオー,牡3,54,武英智,1:48.6,5,**,1-1-1-4,40.4,7.1,5,500(-10),,,,[西] 山内研二,金岡久夫,,200701010711
