着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200805050711
1,2,4,タマモサポート,牡5,56,津村明秀,1:33.0,,**,4-5,34.2,19.8,8,478(-6),,,,[西] 藤岡健一,タマモ,2442.0,200805050711
2,2,3,ゲイルスパーキー,牡4,56,北村宏司,1:33.4,2.1/2,**,7-8,34.3,6.1,2,502(0),,,,[東] 古賀慎明,ＲＲＡ,972.0,200805050711
3,1,2,マイネルハーティー,牡6,57,木幡初広,1:33.7,1.3/4,**,14-13,34.2,92.0,15,502(0),,,,[西] 中村均,サラブレッドクラブ・ラフィアン,606.0,200805050711
4,3,6,レッツゴーキリシマ,牡3,55,幸英明,1:33.8,1/2,**,3-3,35.2,2.8,1,474(+4),,,,[西] 梅田康雄,西村新一郎,360.0,200805050711
5,6,11,ナスノストローク,牡7,56,ルメール,1:33.9,1/2,**,9-8,34.8,9.7,5,526(-2),,,,[西] 加用正,那須野牧場,240.0,200805050711
6,7,15,ドリームシグナル,牡3,56,丸田恭介,1:34.0,クビ,**,11-10,34.7,31.7,11,472(0),,,,[西] 西園正都,セゾンレースホース,,200805050711
7,5,10,マイネルポライト,牡5,56,後藤浩輝,1:34.0,ハナ,**,9-10,34.8,11.8,7,492(+2),,,,[西] 西浦勝一,サラブレッドクラブ・ラフィアン,,200805050711
8,6,12,メイショウトッパー,牡5,56,中舘英二,1:34.1,3/4,**,4-3,35.5,128.5,17,492(-2),,,,[西] 白井寿昭,松本好雄,,200805050711
9,3,5,フサイチアウステル,牡6,56,赤木高太,1:34.3,1.1/4,**,2-2,35.8,8.3,3,482(-20),,,,[西] 池江泰寿,岡田牧雄,,200805050711
10,5,9,ジーンハンター,牡6,56,吉田豊,1:34.4,3/4,**,16-16,34.6,73.2,13,526(0),,,,[西] 松元茂樹,前田幸治,,200805050711
11,1,1,バトルハートオー,牡7,56,田中博康,1:34.5,1/2,**,4-5,35.7,267.1,18,496(+2),,,,[西] 矢作芳人,宮川秋信,,200805050711
12,4,7,アップドラフト,セ6,56,柴山雄一,1:34.7,1.1/2,**,18-18,33.8,81.8,14,496(-4),,,,[西] 安田隆行,サンデーレーシング,,200805050711
13,8,17,トウショウヴォイス,牡6,56,柴田善臣,1:34.8,クビ,**,15-15,35.1,26.7,9,478(0),,,,[東] 小桧山悟,トウショウ産業,,200805050711
14,7,14,ミリオンウェーブ,牡3,55,吉田隼人,1:34.8,クビ,**,7-5,35.9,61.5,12,484(+4),,,,[西] 宮本博,万波健二,,200805050711
15,7,13,アロマキャンドル,牝3,53,横山典弘,1:35.1,1.3/4,**,17-17,34.9,10.4,6,488(+2),,,,[東] 河野通文,社台レースホース,,200805050711
16,4,8,ダンスインザモア,牡6,57,三浦皇成,1:35.1,ハナ,**,13-13,35.7,29.5,10,524(+12),,,,[東] 相沢郁,木浪巖,,200805050711
17,8,16,リキッドノーツ,牡7,56,田中勝春,1:35.4,1.3/4,**,12-10,36.2,9.4,4,518(+10),,,,[東] 二ノ宮敬,臼田浩義,,200805050711
18,8,18,エムオーウイナー,牡7,56,蛯名正義,1:37.9,大,**,1-1,40.0,113.8,16,524(+8),,,,[東] 鹿戸雄一,大浅貢,,200805050711
