着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200703030709
1,3,3,コウヨウアイリーン,牝3,53,池添謙一,1:50.8,,**,3-3-2-2,35.8,3.4,1,470(+2),,,,[東] 山田要一,寺内正光,730.0,200703030709
2,3,4,スマイリングルーラ,牝4,55,藤岡佑介,1:51.2,2.1/2,**,1-1-1-1,36.5,6.2,3,484(+10),,,,[西] 大久保龍,鈴木義孝,290.0,200703030709
3,1,1,プリンセスイブ,牝5,53,的場勇人,1:51.2,ハナ,**,6-5-6-3,36.1,10.3,5,430(+4),,,,[東] 境征勝,岡田隆寛,180.0,200703030709
4,8,14,エールスタンス,牝4,55,津村明秀,1:51.4,1.1/2,**,9-10-12-8,35.7,3.6,2,434(0),,,,[東] 武市康男,吉田照哉,110.0,200703030709
5,2,2,パッショナルダンス,牝5,55,川島信二,1:51.5,1/2,**,9-7-6-5,36.4,13.2,6,470(+12),,,,[西] 池江泰郎,ターフ・スポート,73.0,200703030709
6,4,5,シルキーフレンド,牝6,55,二本柳壮,1:51.5,ハナ,**,14-13-12-8,35.9,17.6,8,436(-6),,,,[東] 大和田稔,シルク,,200703030709
7,4,6,ジャックローズ,牝3,53,勝浦正樹,1:51.8,2,**,5-5-2-5,36.8,9.1,4,432(+20),,,,[東] 成島英春,本桐牧場,,200703030709
8,6,9,マイネトップレディ,牝4,55,梶晃啓,1:52.0,1.1/4,**,6-7-8-8,36.8,50.9,10,482(0),,,,[東] 郷原洋行,サラブレッドクラブ・ラフィアン,,200703030709
9,8,13,トーセンセレニティ,牝4,55,上村洋行,1:52.4,2.1/2,**,9-10-11-12,36.9,17.5,7,446(+2),,,,[東] 加藤征弘,島川隆哉,,200703030709
10,7,11,サフランキセキ,牝4,55,古川吉洋,1:52.6,1.1/4,**,6-7-8-8,37.4,91.2,14,450(-6),,,,[西] 浜田光正,海原聖一,,200703030709
11,7,12,コスモフライハイ,牝3,51,田中博康,1:53.0,2.1/2,**,3-3-2-3,38.1,19.5,9,486(0),,,,[東] 柴崎勇,ビッグレッドファーム,,200703030709
12,5,8,スカイノミツキ,牝4,52,荻野琢真,1:53.5,3,**,12-12-10-12,38.1,58.6,12,470(+8),,,,[西] 大久保龍,江賦晨,,200703030709
13,6,10,スパークチャット,牝4,55,佐藤哲三,1:54.3,5,**,2-2-2-5,39.4,78.8,13,434(-2),,,,[東] 高橋裕,下河辺牧場,,200703030709
中,5,7,ラムグレス,牝4,55,石橋脩,,,**,12,,53.2,11,464(-2),,,,[東] 清水利章,水上行雄,,200703030709
