着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200401020512
1,2,2,トウカイハッスル,牡3,54,菊沢隆徳,2:02.2,,,6-6-5-4,37.0,12.8,5,462(0),,,,[東] 成島英春,内村正則,1082.9,200401020512
2,7,10,スペースリーダー,牡3,54,本田優,2:02.7,3,,4-3-3-3,37.8,3.8,2,512(+2),,,,[西] 田所秀孝,平井裕,429.4,200401020512
3,3,3,トニークローネ,牡5,57,藤田伸二,2:03.0,2,,10-10-8-5,37.2,18.0,8,468(-4),,,,[東] 二ノ宮敬,高昌,264.7,200401020512
4,1,1,コスモテナシャス,牡3,54,勝浦正樹,2:03.2,1.1/4,,1-1-1-1,38.5,16.6,7,454(+6),,,,[東] 相沢郁,岡田美佐子,160.0,200401020512
5,4,4,ヒューマンエラー,牡3,54,宮崎光行,2:03.5,2,,9-8-7-8,38.1,247.2,11,466(+10),,,,[地] 田中正二,小田切有一,105.0,200401020512
6,5,5,チャーミングクリス,牝4,55,松田大作,2:03.6,クビ,,11-11-8-8,37.9,2.3,1,490(+8),,,,[西] 松田博資,吉田和子,,200401020512
7,6,8,パラディン,牡3,54,岩崎祐己,2:04.5,5,,4-3-4-6,39.5,10.5,4,514(+10),,,,[西] 角居勝彦,サンデーレーシング,,200401020512
8,7,9,カネマサスピーディ,牡3,54,川島信二,2:04.6,1/2,,8-8-8-10,38.8,30.1,9,514(+6),,,,[西] 安藤正敏,前田政雄,,200401020512
9,5,6,ユキノマンゲツ,牝3,52,藤岡佑介,2:04.6,クビ,,2-2-2-2,39.9,71.2,10,456(+18),,,,[東] 根本康広,馬場幸廣,,200401020512
10,8,11,ネーションワイド,牡4,57,津村明秀,2:04.7,1/2,,3-3-5-6,39.5,341.8,12,486(0),,,,[東] 伊藤伸一,土井康資,,200401020512
11,8,12,セレブセレクション,牝3,52,坂下秀樹,2:06.8,大,,7-7-11-12,40.6,6.5,3,462(-4),,,,[地] 桧森邦夫,北原昌克,,200401020512
12,6,7,スプラッシュ,牡5,57,石橋脩,2:06.8,クビ,,12-12-11-11,40.7,14.0,6,498(+2),,,,[東] 小桧山悟,江川伸夫,,200401020512
