着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200401020303
1,2,2,マヤノフリーダム,セ3,55,石橋脩,1:00.0,,,2-2,36.2,4.8,3,450(+4),,,,[西] 坂口正大,田所祐,500.0,200401020303
2,7,9,ノーブルカフェ,牡3,56,武幸四郎,1:00.3,2,,7-6,35.7,3.1,2,448(+10),,,,[東] 小島太,西川清,200.0,200401020303
3,8,11,ゴールドガンダム,牡3,56,武豊,1:00.4,1/2,,4-4,36.3,2.9,1,482(+6),,,,[東] 堀宣行,ゴールドレーシング,130.0,200401020303
4,6,7,ルシエルブルー,牡3,54,岩崎祐己,1:00.6,1.1/4,,1-1,36.9,38.2,7,514(0),,,,[西] 柴田光陽,ヒダカ・ブリーダーズ・ユニオン,75.0,200401020303
5,4,4,サザンフェアリー,牝3,54,藤田伸二,1:00.8,1.1/4,,2-3,37.0,13.7,6,488(0),,,,[東] 池上昌弘,吉田和子,50.0,200401020303
6,3,3,ゼルコバワン,牡3,56,菊沢隆徳,1:01.2,2.1/2,,5-5,36.9,56.1,10,440(+10),,,,[東] 西塚安夫,間原光正,,200401020303
7,5,5,スリースウィープ,牡3,53,高井彰大,1:01.4,1.1/4,,11-10,36.5,50.9,8,442(+10),,,,[西] 橋本寿正,永井商事,,200401020303
8,8,12,サザンディップ,牡3,56,四位洋文,1:01.6,1.1/2,,5-6,37.3,6.6,4,538(+12),,,,[東] 宗像義忠,南波壽,,200401020303
9,5,6,スズヨバクシンオー,牡3,56,勝浦正樹,1:01.7,1/2,,7-9,37.1,12.2,5,470(+6),,,,[東] 浅野洋一,鈴木与四郎,,200401020303
10,7,10,ジンデンキセキ,牝3,54,小野次郎,1:02.3,3.1/2,,7-8,37.7,55.8,9,472(-10),,,,[東] 高松邦男,黒岩統治郎,,200401020303
中,1,1,イシノパワーボム,牡3,56,武英智,,,,12,,368.9,12,466(-12),,,,[西] 福島勝,西村專次,,200401020303
失,6,8,パレスシャトル,牡3,56,岩部純二,1:02.5,,,10-10,37.7,102.1,11,498(+6),,,,[東] 高木嘉夫,西村豊,,200401020303
