着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200806010810
1,2,4,リキサンファイター,牡4,54,蛯名正義,1:08.7,,**,10-7,35.0,5.1,2,470(+6),,,,[東] 高木登,ハイパワー商事,1869.2,200806010810
2,3,5,メジロシリング,牡5,57,四位洋文,1:08.8,1/2,**,16-14,34.4,19.8,9,510(-12),,,,[西] 北出成人,メジロ牧場,741.2,200806010810
3,2,3,ウエスタンビーナス,牝5,53,郷原洋司,1:08.8,アタマ,**,1-1,35.6,19.5,8,452(+8),,,,[東] 鈴木康弘,西川賢,465.6,200806010810
4,4,8,ピサノグラフ,牝6,54,横山典弘,1:09.0,1,**,15-14,34.8,4.7,1,490(+10),,,,[東] 藤沢和雄,市川義美,270.0,200806010810
5,1,2,エフテーストライク,牝4,52,武士沢友,1:09.0,クビ,**,13-14,35.0,19.8,10,422(+2),,,,[東] 西塚安夫,深野茂雄,183.0,200806010810
6,1,1,エネルマオー,牡6,56,ペリエ,1:09.1,クビ,**,5-2,35.7,7.7,5,468(-6),,,,[西] 宮本博,西山茂行,,200806010810
7,5,10,オーヴェール,牡6,55,柴山雄一,1:09.2,1/2,**,10-11,35.4,53.1,13,544(-18),,,,[西] 浅見秀一,サンデーレーシング,,200806010810
8,8,15,テイエムポイント,牡7,54,勝浦正樹,1:09.2,クビ,**,5-2,35.8,16.7,7,492(-8),,,,[西] 羽月友彦,竹園正繼,,200806010810
9,8,16,ブランシュネージュ,牝6,51,柄崎将寿,1:09.3,1/2,**,13-11,35.3,59.9,14,446(-4),,,,[東] 池上昌弘,キャロットファーム,,200806010810
10,7,14,ナチュラルメイク,牝6,54,今野忠成,1:09.4,クビ,**,12-7,35.5,15.8,6,464(-2),,,,[東] 加藤征弘,臼田浩義,,200806010810
11,5,9,コンゴウリュウオー,牡4,54,吉田隼人,1:09.6,1.1/4,**,8-7,36.1,5.2,3,494(+4),,,,[西] 山内研二,金岡久夫,,200806010810
12,3,6,ダンディーズケア,牡5,57,田中勝春,1:10.2,3.1/2,**,5-7,36.8,7.1,4,482(+6),,,,[東] 二ノ宮敬,臼田浩義,,200806010810
13,7,13,サインゴールド,牝5,52,村田一誠,1:10.2,アタマ,**,2-2,36.9,48.2,12,462(-6),,,,[西] 梅内忍,山田順通,,200806010810
14,4,7,マイネルサニベル,牡4,53,津村明秀,1:11.4,7,**,8-11,37.9,95.4,16,492(+10),,,,[東] 高橋義博,サラブレッドクラブ・ラフィアン,,200806010810
15,6,12,ミキノモナコ,牝4,52,小野次郎,1:11.8,2.1/2,**,2-2,38.6,62.6,15,468(+4),,,,[東] 保田一隆,谷口久和,,200806010810
16,6,11,フレッシュバニラ,牝5,53,後藤浩輝,1:12.1,1.3/4,**,2-2,38.9,35.6,11,458(-10),,,,[東] 松山康久,渡邊隆,,200806010810
