着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200801020201
1,5,6,ピロートーク,牝2,54,横山典弘,1:51.8,,**,4-4-3-3,35.5,36.9,9,412(0),,,,[東] 藤原辰雄,齊藤四方司,500.0,200801020201
2,5,5,トップゾーン,牡2,54,藤岡佑介,1:51.9,1/2,**,1-1-1-1,35.9,7.8,4,442(-12),,,,[西] 境直行,コオロ,200.0,200801020201
3,4,4,カネトシコウショウ,牡2,54,秋山真一,1:52.2,1.3/4,**,2-2-2-2,36.1,7.4,3,454(-12),,,,[西] 中村均,兼松利男,130.0,200801020201
4,1,1,マイネルプロートス,牡2,54,松岡正海,1:52.2,クビ,**,3-3-3-3,35.9,1.8,1,484(0),,,,[西] 加用正,サラブレッドクラブ・ラフィアン,75.0,200801020201
5,3,3,ニシノラブキング,牡2,54,武幸四郎,1:52.2,ハナ,**,8-7-5-5,35.7,6.0,2,470(-8),,,,[西] 浅見秀一,西山茂行,50.0,200801020201
6,8,11,アドバンスヘイロー,牡2,53,三浦皇成,1:52.3,1/2,**,5-5-5-5,35.9,26.4,7,440(0),,,,[東] 河野通文,西川隆士,,200801020201
7,8,12,ラヴィンライフ,牡2,54,長谷川浩,1:52.3,クビ,**,8-7-7-7,35.7,9.1,5,466(-2),,,,[西] 武宏平,サンデーレーシング,,200801020201
8,7,9,ディバインフレイム,牡2,54,藤田伸二,1:52.6,2,**,10-10-10-8,35.8,29.3,8,514(+12),,,,[西] 清水出美,キャロットファーム,,200801020201
9,6,7,ハリケンフリゲイト,牡2,51,荻野琢真,1:53.4,5,**,12-12-12-12,36.3,167.6,11,420(-4),,,,[西] 羽月友彦,小川洋,,200801020201
10,6,8,コスモピグマン,牡2,51,丸田恭介,1:53.4,クビ,**,5-5-7-10,36.7,79.1,10,452(-4),,,,[東] 伊藤伸一,ビッグレッドファーム,,200801020201
11,7,10,ガリアーノ,牡2,54,蛯名正義,1:53.7,2,**,10-10-10-10,36.9,25.2,6,436(-8),,,,[西] 池添兼雄,キャロットファーム,,200801020201
12,2,2,キタサンアース,牡2,54,芹沢純一,1:54.0,1.3/4,**,7-7-7-8,37.4,253.1,12,480(+8),,,,[西] 鹿戸明,大野商事,,200801020201
