着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200803030404
1,1,1,エビスオール,牝3,53,三浦皇成,1:08.2,,**,1-1,36.9,2.5,1,480(+4),,,,[東] 加藤征弘,加藤友三郎,730.0,200803030404
2,4,7,ブルーカーディナル,牡4,57,木幡初広,1:08.8,3.1/2,**,2-2,37.5,7.6,5,520(+10),,,,[東] 佐藤吉勝,ブルーマネジメント,290.0,200803030404
3,3,5,ダノンフレンドリー,牡4,56,藤岡康太,1:09.0,1.1/2,**,3-3,37.5,6.6,3,518(+16),,,,[東] 萩原清,ダノックス,180.0,200803030404
4,2,3,ガッサンルーブル,牡7,57,赤木高太,1:09.1,1/2,**,9-8,37.1,20.8,6,534(+2),,,,[東] 畠山吉宏,西村專次,110.0,200803030404
5,5,10,ブイヘネシー,牡6,57,北村友一,1:09.8,4,**,5-5,38.1,53.2,9,510(+14),,,,[西] 石坂正,山田博康,73.0,200803030404
6,4,8,ロードレンジャー,牡7,57,中舘英二,1:09.9,クビ,**,5-5,38.2,4.0,2,474(-2),,,,[東] 菊川正達,ロードホースクラブ,,200803030404
7,5,9,ウェディングライト,牝4,55,石橋脩,1:09.9,クビ,**,3-3,38.4,23.2,7,444(+10),,,,[東] 尾形充弘,荻原昭二,,200803030404
8,7,13,ベルモントユリア,牝5,55,菊沢隆徳,1:10.0,1/2,**,5-5,38.4,6.7,4,464(-12),,,,[東] 中野渡清,ベルモントファーム,,200803030404
9,7,14,キングエルドラド,牡4,54,宮崎北斗,1:10.1,1/2,**,9-11,38.1,159.9,12,460(-5),,,,[東] 堀井雅広,菅原史博,,200803030404
10,6,12,フェーヴ,牝6,52,千葉直人,1:10.1,ハナ,**,8-10,38.3,186.2,14,488(+2),,,,[東] 高橋祥泰,伊達敏明,,200803030404
11,6,11,スキマチェリー,牡4,57,高山太郎,1:10.1,アタマ,**,12-12,37.8,52.4,8,494(+4),,,,[東] 嶋田功,チエリー商事,,200803030404
12,8,16,マホロバ,牡4,57,小林慎一,1:10.3,1.1/4,**,12-13,38.0,199.7,15,456(-2),,,,[西] 矢作芳人,加藤守,,200803030404
13,3,6,サンクスヘヴン,牡3,53,丸田恭介,1:10.4,1/2,**,9-8,38.4,80.0,10,468(-2),,,,[東] 相沢郁,星野祐介,,200803030404
14,2,4,スナークコンコルド,牡6,57,高橋智大,1:10.6,1.1/4,**,16-13,37.8,248.7,16,512(+20),,,,[東] 嶋田潤,杉本仙次郎,,200803030404
15,8,15,エーシンエーユー,牝4,52,大下智,1:10.9,1.3/4,**,15-13,38.4,157.3,11,494(+22),,,,[西] 梅内忍,平井宏承,,200803030404
16,1,2,ティービスティー,牡4,56,田中博康,1:12.9,大,**,12-13,40.6,169.2,13,494(+4),,,,[東] 清水英克,ビスティーズホースユニオン,,200803030404
