着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200803010206
1,4,8,ピサノロンシャン,牡3,56,松田大作,2:03.7,,**,4-4-4-3,37.3,4.1,3,468(0),,,,[西] 安達昭夫,市川義美,500.0,200803010206
2,3,6,マジックロード,牡3,56,木幡初広,2:03.8,1/2,**,7-6-4-5,37.4,9.8,4,480(+2),,,,[東] 稲葉隆一,鈴木芳夫,200.0,200803010206
3,2,3,ユーピロンユー,牝3,54,田面木博,2:04.2,2.1/2,**,1-1-1-1,38.2,70.7,12,424(-4),,,,[東] 蛯名信広,袴田精一,130.0,200803010206
4,6,12,エーシンダカーポ,牡3,56,柴山雄一,2:04.2,クビ,**,10-10-7-7,37.6,23.8,8,476(+8),,,,[東] 畠山吉宏,平井宏承,75.0,200803010206
5,5,10,ダンツラズベリー,牝3,54,菊沢隆徳,2:04.3,3/4,**,13-12-9-9,37.4,18.9,7,488(0),,,,[東] 伊藤伸一,山元哲二,50.0,200803010206
6,1,1,ステラポラリス,牡3,56,大野拓弥,2:04.4,クビ,**,3-3-2-3,38.2,3.6,2,524(0),,,,[東] 杉浦宏昭,山岸桂市,,200803010206
7,2,4,ローランスカイ,牡3,56,江田照男,2:04.5,3/4,**,2-2-2-2,38.3,33.6,9,466(-6),,,,[東] 水野貴広,斉藤敏博,,200803010206
8,3,5,スズカゲイル,牡3,54,藤岡康太,2:04.6,3/4,**,4-4-4-5,38.2,15.8,5,420(-4),,,,[西] 橋田満,永井啓弍,,200803010206
9,5,9,トドロキミラクル,牝3,54,嘉藤貴行,2:04.8,3/4,**,16-14-13-12,37.5,164.2,14,410(-12),,,,[東] 高橋義博,原田昭太郎,,200803010206
10,1,2,ロマンシエール,牝3,54,川田将雅,2:04.8,クビ,**,13-14-12-7,37.7,18.8,6,432(+2),,,,[東] 伊藤圭三,サンデーレーシング,,200803010206
11,6,11,ハクサンレジェンド,牡3,56,石橋脩,2:04.9,クビ,**,7-8-9-11,38.0,184.9,15,434(+2),,,,[東] 浅野洋一,篠崎恒雄,,200803010206
12,8,16,ブラックストーム,牡3,56,秋山真一,2:05.1,1.1/4,**,7-8-7-9,38.4,3.2,1,456(0),,,,[西] 平田修,佐藤恭永,,200803010206
13,7,14,ホッカイハウラー,牡3,56,中村将之,2:05.3,1.1/4,**,6-6-9-14,38.3,102.2,13,496(-4),,,,[西] 鶴留明雄,北海牧場,,200803010206
14,4,7,マルターズマリー,牝3,54,小野次郎,2:05.3,クビ,**,12-13-15-16,37.9,43.3,10,460(-2),,,,[東] 天間昭一,藤田与志男,,200803010206
15,8,15,セイユウフォーユー,牡3,56,西田雄一,2:05.5,1.1/2,**,10-10-13-13,38.2,228.3,16,462(+2),,,,[東] 矢野照正,佐久間崇之,,200803010206
16,7,13,プロディギー,牡3,56,鷹野宏史,2:05.7,1.1/4,**,13-14-16-14,37.9,61.8,11,420(0),,,,[東] 二ノ宮敬,広尾レース,,200803010206
