着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200805030211
1,7,15,トールポピー,牝3,55,池添謙一,2:28.8,,**,9-7-8-7,35.3,9.7,4,462(+2),,,,[西] 角居勝彦,キャロットファーム,12962.0,200805030211
2,3,6,エフティマイア,牝3,55,蛯名正義,2:28.8,アタマ,**,7-7-6-5,35.4,32.5,13,432(+12),,,,[東] 鹿戸雄一,吉野英子,4832.0,200805030211
3,5,10,レジネッタ,牝3,55,小牧太,2:29.0,1.1/2,**,11-11-10-10,35.2,12.1,5,440(+8),,,,[西] 浅見秀一,社台レースホース,2866.0,200805030211
4,4,7,ブラックエンブレム,牝3,55,松岡正海,2:29.1,クビ,**,2-2-3-3,35.8,12.9,6,444(-16),,,,[東] 小島茂之,田原邦男,1500.0,200805030211
5,8,17,オディール,牝3,55,安藤勝己,2:29.2,1/2,**,9-10-11-12,35.2,27.0,11,440(-2),,,,[西] 橋口弘次,ノースヒルズマネジメント,970.0,200805030211
6,2,4,レッドアゲート,牝3,55,内田博幸,2:29.2,クビ,**,5-5-3-3,36.0,5.3,2,430(+2),,,,[東] 田村康仁,ディアレスト,,200805030211
7,8,18,リトルアマポーラ,牝3,55,武幸四郎,2:29.3,クビ,**,11-11-11-10,35.4,3.9,1,460(-6),,,,[西] 長浜博之,社台レースホース,,200805030211
8,6,12,ソーマジック,牝3,55,後藤浩輝,2:29.4,1/2,**,7-5-6-8,35.7,6.5,3,490(0),,,,[東] 田村康仁,吉田照哉,,200805030211
9,4,8,マイネレーツェル,牝3,55,武豊,2:29.4,クビ,**,16-16-16-14,35.3,21.5,9,400(0),,,,[西] 五十嵐忠,サラブレッドクラブ・ラフィアン,,200805030211
10,3,5,ムードインディゴ,牝3,55,福永祐一,2:29.6,1.1/4,**,6-7-8-8,36.0,17.7,7,452(-4),,,,[西] 友道康夫,金子真人ホールディングス,,200805030211
11,2,3,アロマキャンドル,牝3,55,田中勝春,2:30.3,4,**,14-14-13-14,36.2,18.7,8,470(-10),,,,[東] 河野通文,社台レースホース,,200805030211
12,5,9,ライムキャンディ,牝3,55,四位洋文,2:30.3,アタマ,**,11-11-13-14,36.2,25.4,10,506(-2),,,,[西] 藤岡健一,社台レースホース,,200805030211
13,1,2,ハートオブクィーン,牝3,55,幸英明,2:31.0,4,**,4-4-3-5,37.6,52.0,17,472(+14),,,,[東] 水野貴広,泉俊二,,200805030211
14,6,11,ジョイフルスマイル,牝3,55,吉田豊,2:31.2,1.1/2,**,17-17-17-17,36.9,117.1,18,436(-8),,,,[西] 矢作芳人,上茶谷一,,200805030211
15,7,14,カレイジャスミン,牝3,55,柴田善臣,2:31.2,アタマ,**,3-2-2-2,38.1,35.6,14,484(-2),,,,[東] 宗像義忠,ディアレスト,,200805030211
16,7,13,スペルバインド,牝3,55,勝浦正樹,2:31.6,2.1/2,**,14-14-13-12,37.6,28.6,12,464(0),,,,[西] 長浜博之,社台レースホース,,200805030211
17,8,16,エアパスカル,牝3,55,藤岡佑介,2:31.8,1.1/4,**,1-1-1-1,38.7,47.5,16,416(-6),,,,[西] 池江泰寿,ラッキーフィールド,,200805030211
18,1,1,シャランジュ,牝3,55,横山典弘,2:32.1,2,**,18-18-18-17,37.8,43.5,15,422(0),,,,[東] 本間忍,伊達敏明,,200805030211
