着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200801010108
1,6,9,ココシュニック,牝3,52,四位洋文,1:46.4,,**,1-1-1-1,38.9,3.2,1,502(+14),,,,[西] 松田国英,吉田和子,740.0,200801010108
2,5,7,イノチノアカリ,牝4,55,武幸四郎,1:47.0,3.1/2,**,11-11-10-3,38.5,4.8,2,442(-2),,,,[西] 武邦彦,小林祥晃,300.0,200801010108
3,6,8,コパノタイマネ,牝4,54,的場勇人,1:47.1,3/4,**,8-8-6-3,38.8,5.4,3,492(0),,,,[西] 崎山博樹,小林祥晃,190.0,200801010108
4,4,5,ブリズデロートンヌ,牝3,52,菊沢隆徳,1:47.4,1.3/4,**,6-6-6-7,39.1,14.0,6,446(+2),,,,[東] 鈴木康弘,社台レースホース,110.0,200801010108
5,4,4,マルサンサイレンス,牝3,49,丸田恭介,1:47.4,アタマ,**,12-12-12-11,38.3,46.4,11,452(-8),,,,[東] 谷原義明,松井三千年,74.0,200801010108
6,8,12,タガノレイヤード,牝4,54,北村友一,1:47.7,2,**,2-2-2-2,40.0,12.3,5,488(+12),,,,[西] 松田博資,八木良司,,200801010108
7,7,11,オークヒルズ,牝3,50,三浦皇成,1:47.8,1/2,**,6-6-6-9,39.6,5.4,4,450(+10),,,,[西] 池江泰郎,後藤繁樹,,200801010108
8,1,1,ボルガ,牝4,52,荻野琢真,1:48.2,2.1/2,**,3-3-3-6,40.1,114.5,12,478(+2),,,,[東] 伊藤伸一,矢野喜代春,,200801010108
9,7,10,ベルテッセン,牝4,55,長谷川浩,1:48.2,ハナ,**,8-8-3-3,40.2,36.0,10,436(+4),,,,[西] 西浦勝一,河野和香子,,200801010108
10,5,6,スズカゲラン,牝5,55,河北通,1:48.7,3,**,8-8-10-9,40.1,29.3,9,466(+2),,,,[西] 小野幸治,永井啓弍,,200801010108
11,8,13,フィフスアベニュー,牝4,55,小林徹弥,1:49.2,3,**,3-5-3-7,41.2,14.3,7,500(-6),,,,[西] 清水出美,山本慎一,,200801010108
12,2,2,ディーズテンダー,牝3,52,横山典弘,1:49.2,ハナ,**,3-3-6-12,41.0,21.3,8,474(+22),,,,[東] 大江原哲,田口廣,,200801010108
除,3,3,キャトルキャール,牝3,52,秋山真一,,,**,,,---,,418(-6),,,,[西] 中村均,吉田修,,200801010108
