着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200601010609
1,8,16,チアフルスマイル,牝6,54,岩田康誠,1:08.4,,**,11-8,33.9,12.5,4,448(+4),,,,[西] 池江泰郎,アカデミー,4158.8,200601010609
2,7,14,シーイズトウショウ,牝6,55,池添謙一,1:08.5,1/2,**,3-2,34.6,1.8,1,476(+2),,,,[西] 鶴留明雄,トウショウ産業,1616.8,200601010609
3,1,2,ビーナスライン,牝5,54,秋山真一,1:08.5,クビ,**,12-12,33.8,8.2,2,460(-4),,,,[東] 堀宣行,ターフ・スポート,1008.4,200601010609
4,5,10,ブルーショットガン,牡7,56,藤岡佑介,1:08.5,ハナ,**,13-13,33.6,11.4,3,456(0),,,,[西] 武宏平,荻伏レーシング・クラブ,620.0,200601010609
5,2,4,ツルガオカハヤテ,セ6,56,横山典弘,1:08.7,1.1/4,**,3-4,34.7,13.4,6,472(+8),,,,[東] 伊藤正徳,松本兼吉,410.0,200601010609
6,2,3,マイネルソロモン,セ6,56,津村明秀,1:08.8,3/4,**,14-13,33.7,153.2,13,444(-8),,,,[東] 国枝栄,サラブレッドクラブ・ラフィアン,,200601010609
7,4,7,プレシャスカフェ,牡7,56,柴山雄一,1:08.8,クビ,**,8-8,34.5,68.6,11,494(+2),,,,[東] 小島太,西川光一,,200601010609
8,3,6,トールハンマー,牡6,56,安藤勝己,1:08.9,1/2,**,8-8,34.5,19.7,9,476(-2),,,,[東] 二ノ宮敬,サンデーレーシング,,200601010609
9,8,15,ダイワメンフィス,牡5,56,北村宏司,1:08.9,クビ,**,6-4,34.8,12.9,5,496(-2),,,,[東] 増沢末夫,大城敬三,,200601010609
10,6,11,モアザンベスト,牝4,54,菊沢隆徳,1:09.0,クビ,**,1-1,35.5,27.0,10,504(0),,,,[東] 二ノ宮敬,飯田政子,,200601010609
11,7,13,ダンスオブサロメ,牝4,54,本田優,1:09.3,1.3/4,**,8-8,35.0,70.3,12,438(+6),,,,[西] 岡田稲男,門野重雄,,200601010609
12,4,8,コパノフウジン,牡4,56,藤田伸二,1:09.5,1.1/2,**,6-4,35.3,16.4,7,470(+8),,,,[西] 宮徹,小林祥晃,,200601010609
13,1,1,コスモラブシック,牡7,56,芹沢純一,1:09.7,1,**,3-4,35.7,177.4,14,508(+10),,,,[東] 稲葉隆一,オールラブクラブ,,200601010609
14,5,9,サムソンハッピー,牡8,56,的場勇人,1:09.9,1,**,14-15,34.7,179.1,15,488(0),,,,[東] 二ノ宮敬,田中由子,,200601010609
15,3,5,モエレエスポワール,牡5,56,五十嵐冬,1:09.9,アタマ,**,16-16,34.4,221.4,16,482(-10),,,,[地] 堂山芳則,中村和夫,,200601010609
16,6,12,ギャラントアロー,牡6,56,武幸四郎,1:10.5,3.1/2,**,2-2,36.9,16.9,8,500(+6),,,,[西] 崎山博樹,冨沢敦子,,200601010609
