着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200801020202
1,5,6,アドマイヤアモーレ,牝3,54,安藤勝己,1:46.8,,**,2-2-2-2,37.9,3.2,1,478(+6),,,,[西] 橋田満,近藤利一,500.0,200801020202
2,2,2,バーチャルウォーズ,牡3,53,丸田恭介,1:47.4,3.1/2,**,9-9-4-3,38.2,3.3,2,476(0),,,,[東] 宗像義忠,薗部博之,200.0,200801020202
3,4,5,ジョーキーマン,牡3,56,長谷川浩,1:47.6,1.1/2,**,6-5-4-3,38.4,5.3,4,434(0),,,,[西] 中村均,上田けい子,130.0,200801020202
4,7,10,カリユガ,牡3,56,松田大作,1:48.4,5,**,7-7-7-6,38.9,48.2,8,490(+10),,,,[東] 本間忍,池谷誠一,75.0,200801020202
5,4,4,シルキーチュチュ,牝3,53,田中博康,1:48.5,クビ,**,1-1-1-1,39.7,37.0,7,452(+4),,,,[東] 上原博之,シルク,50.0,200801020202
6,3,3,ハッカイサンライズ,牡3,56,蛯名正義,1:49.0,3,**,8-9-11-9,38.8,4.9,3,452(+2),,,,[東] 藤原辰雄,齊藤四方司,,200801020202
7,8,12,サーリセルカ,牝3,53,北村友一,1:49.2,1.1/4,**,2-3-3-5,40.1,58.3,9,476(-12),,,,[西] 岡田稲男,社台レースホース,,200801020202
8,5,7,クレバーモーリン,牝3,53,的場勇人,1:49.2,ハナ,**,9-8-8-7,39.5,96.5,11,432(+2),,,,[西] 崎山博樹,田邉正明,,200801020202
9,1,1,ハートアンサンブル,牡3,56,竹之下智,1:49.3,クビ,**,13-13-13-11,38.9,107.0,12,464(-4),,,,[西] 友道康夫,キャロットファーム,,200801020202
10,6,8,ドーンオンザケープ,牡3,56,藤岡佑介,1:51.0,大,**,5-5-9-8,41.2,29.7,6,526(-6),,,,[西] 池江泰郎,サンデーレーシング,,200801020202
11,7,11,アライイオトコ,牡3,56,中舘英二,1:51.0,クビ,**,11-11-9-12,41.1,81.5,10,460(-16),,,,[東] 柄崎孝,中村博亮,,200801020202
12,8,13,タツキセキ,牝3,54,藤田伸二,1:52.0,6,**,2-4-4-9,42.8,9.0,5,492(-2),,,,[東] 高市圭二,鈴木昭作,,200801020202
13,6,9,メイショウタカモリ,牡3,53,荻野琢真,1:52.8,5,**,12-11-11-13,42.6,270.6,13,476(+6),,,,[西] 矢作芳人,松本好雄,,200801020202
