着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200703020204
1,5,8,サウスバトルマン,牡5,60,平沢健治,2:58.6,,,1-1-1-1,13.0,42.7,9,478(+4),,,,[東] 久保田貴,南波壽,850.0,200703020204
2,3,3,シュフルール,牝5,58,金子光希,2:59.1,3,,7-6-5-4,13.0,2.5,1,478(+8),,,,[東] 上原博之,臼田浩義,340.0,200703020204
3,4,5,ハウルサンダー,牡7,60,五十嵐雄,2:59.5,2.1/2,,5-3-2-2,13.1,2.7,2,454(-8),,,,[東] 松永康利,大北牧場,210.0,200703020204
4,6,9,スガーペンタイア,牡5,57,千葉直人,2:59.7,1,,13-10-6-6,13.1,66.3,11,484(-2),,,,[東] 山田要一,菅原光太郎,130.0,200703020204
5,6,10,チャッティーギャル,牝5,58,蓑島靖典,3:00.4,4,,2-2-3-3,13.1,31.8,8,500(+6),,,,[東] 高橋裕,社台レースホース,85.0,200703020204
6,1,1,ノボライトニング,セ4,60,菊池憲太,3:00.4,アタマ,,10-12-9-7,13.1,25.6,7,444(-6),,,,[東] 西塚安夫,ＬＳ．Ｍ,,200703020204
7,3,4,トウカイチャレンジ,牡6,60,大庭和弥,3:01.1,4,,3-3-4-4,13.2,24.9,6,478(+14),,,,[東] 坂本勝美,飯田正剛,,200703020204
8,2,2,マイネルブーバリス,牡4,60,柴田大知,3:01.2,クビ,,10-10-11-10,13.2,61.9,10,460(-12),,,,[東] 畠山重則,サラブレッドクラブ・ラフィアン,,200703020204
9,4,6,アドバンスハピネス,牡4,60,水出大介,3:01.7,3,,10-13-13-13,13.2,218.8,13,486(+2),,,,[東] 中野隆良,アドバンス・サッポロ,,200703020204
10,8,13,カフェフロリデアン,牡7,60,横山義行,3:01.8,3/4,,9-9-12-12,13.2,5.2,3,526(-8),,,,[東] 松山康久,西川恭子,,200703020204
11,7,11,ジョニーローズ,牡4,60,江田勇亮,3:01.9,3/4,,7-6-6-7,13.2,238.1,14,468(+4),,,,[東] 石毛善彦,柳葉敏郎,,200703020204
12,8,14,シャコーバニラ,牝4,58,石神深一,3:02.3,2.1/2,,3-3-6-10,13.3,19.3,5,444(+2),,,,[東] 矢野照正,グレイドレーシング組合,,200703020204
13,5,7,マイネルウェルス,牡4,60,高野和馬,3:04.5,大,,14-14-13-14,13.4,94.1,12,486(-2),,,,[東] 畠山重則,サラブレッドクラブ・ラフィアン,,200703020204
中,7,12,シェルクレール,牡5,60,宗像徹,,,,5-6-9-9,,17.3,4,520(+2),,,,[東] 山田要一,吉田修,,200703020204
