着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200701020703
1,5,6,ニシノキンレンポ,牝3,51,的場勇人,1:44.2,,**,3-3-2-2,38.5,15.8,5,470(-6),,,,[東] 杉浦宏昭,西山茂行,500.0,200701020703
2,4,5,グランドアムール,牝3,51,黛弘人,1:44.3,3/4,**,1-1-1-1,39.0,7.5,3,428(+4),,,,[東] 大江原哲,グランド牧場,200.0,200701020703
3,5,7,ネイチャートレイル,牝3,51,千葉直人,1:45.8,9,**,5-5-4-3,39.1,11.6,4,462(0),,,,[東] 後藤由之,吉田勝己,130.0,200701020703
4,2,2,ホワイトライ,牝3,54,武豊,1:46.3,3,**,8-8-6-3,39.5,1.7,1,486(0),,,,[東] 萩原清,吉田勝己,75.0,200701020703
5,7,11,メジロアルドラ,牝3,54,吉田豊,1:47.5,7,**,12-12-12-11,38.8,47.1,7,512(-4),,,,[東] 大久保洋,メジロ商事,50.0,200701020703
6,1,1,ジャルダンデフルー,牝3,54,池添謙一,1:47.7,1.1/4,**,5-5-6-5,40.8,4.1,2,460(-4),,,,[西] 藤岡健一,グリーンファーム,,200701020703
7,6,8,プラチナブーケ,牝3,54,川島信二,1:48.0,1.3/4,**,10-10-9-7,40.7,137.6,9,496(+6),,,,[東] 成島英春,齊藤直信,,200701020703
8,6,9,バブルビッグワン,牝3,51,佐藤聖也,1:48.2,1.1/4,**,2-2-3-5,42.0,186.9,13,444(-6),,,,[東] 菊川正達,小林章,,200701020703
9,8,12,オーロラビコー,牝3,54,古川吉洋,1:48.4,1.1/4,**,8-9-10-10,40.9,180.8,12,432(-6),,,,[西] 中竹和也,大迫久美子,,200701020703
10,3,3,レディピアレス,牝3,51,池崎祐介,1:49.1,4,**,10-10-11-11,40.9,140.9,10,440(+6),,,,[西] 森秀行,ロードホースクラブ,,200701020703
11,7,10,メイショウスイミー,牝3,54,田中勝春,1:49.9,5,**,13-13-13-13,40.5,174.4,11,378(-8),,,,[東] 小島太,松本好雄,,200701020703
12,4,4,カクテルウィッシュ,牝3,54,田辺裕信,1:50.6,4,**,3-3-4-8,44.0,117.2,8,452(-4),,,,[東] 高橋裕,ターフ・スポート,,200701020703
13,8,13,ケイビイレター,牝3,54,勝浦正樹,1:50.8,1,**,5-5-6-8,44.0,20.4,6,414(-32),,,,[東] 萱野浩二,菊池昭雄,,200701020703
