着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200401010810
1,5,9,ビッグティアラ,牝3,53,和田竜二,1:10.2,,,4-3,34.9,5.8,3,434(-6),,,,[西] 中尾秀正,ビッグ,750.0,200401010810
2,1,2,ギャオ,牡4,56,石橋脩,1:10.2,クビ,,2-1,35.1,95.8,13,480(+10),,,,[西] 坂口正大,山内邦一,300.0,200401010810
3,4,7,ジェイドスワロー,牡4,57,武士沢友,1:10.4,1.1/2,,4-3,35.1,13.4,6,482(-14),,,,[東] 伊藤正徳,かなえ商事,190.0,200401010810
4,7,13,ハニーハント,牝3,50,松岡正海,1:10.5,クビ,,1-2,35.5,7.3,4,418(+10),,,,[東] 矢野進,サンデーレーシング,110.0,200401010810
5,6,11,フェスティブスカイ,牝4,55,藤田伸二,1:10.5,アタマ,,7-7,35.0,3.5,1,448(+12),,,,[西] 山内研二,社台レースホース,75.0,200401010810
6,6,12,アクティースキャン,牡3,55,五十嵐冬,1:10.5,ハナ,,7-7,35.1,215.6,16,460(-4),,,,[地] 村上正和,櫻井正,,200401010810
7,2,4,プリモスター,牝3,53,岡部幸雄,1:10.6,1/2,,7-9,35.2,8.5,5,468(0),,,,[東] 伊藤圭三,グランド牧場,,200401010810
8,5,10,シシャモムスメ,牝5,55,菊沢隆仁,1:10.7,3/4,,7-9,35.2,14.5,7,438(+10),,,,[西] 清水久雄,大野満,,200401010810
9,7,14,ヒヤマクインダム,牝6,55,小野次郎,1:10.8,3/4,,14-11,35.0,18.7,8,442(+2),,,,[東] 菅原泰夫,篠木俊二,,200401010810
10,2,3,アートレータ,牡5,57,吉永護,1:10.8,アタマ,,15-15,34.8,134.7,14,430(-2),,,,[東] 高松邦男,伊達秀和,,200401010810
11,3,5,トーセンルック,牝3,53,蛯名正義,1:10.9,3/4,,2-3,35.8,4.4,2,440(+4),,,,[西] 飯田雄三,島川隆哉,,200401010810
12,4,8,シャンハイハニー,牝3,53,勝浦正樹,1:11.0,1/2,,4-3,35.8,27.3,10,452(0),,,,[東] 高木嘉夫,西村豊,,200401010810
13,1,1,ウィステリアノート,牝3,53,斉藤正弘,1:11.0,ハナ,,11-13,35.4,26.4,9,458(-2),,,,[地] 角川秀樹,坪坂漸,,200401010810
14,8,15,ロードガーラ,セ3,55,四位洋文,1:11.2,1.1/2,,15-15,35.1,57.2,11,434(-18),,,,[西] 藤岡健一,ロードホースクラブ,,200401010810
15,3,6,ケイエスアーリー,牡5,57,小林徹弥,1:11.3,クビ,,11-13,35.7,86.4,12,494(0),,,,[西] 高橋成忠,キヨシサービス,,200401010810
16,8,16,トーホウグレース,牝4,53,岩崎祐己,1:11.8,3,,11-11,36.2,146.9,15,460(+6),,,,[西] 柴田光陽,東豊物産,,200401010810
