着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200703030205
1,6,12,イーサンラヴ,牝3,53,後藤浩輝,1:10.6,,**,4-3,36.3,2.0,1,448(-8),,,,[東] 高橋裕,国本勇,730.0,200703030205
2,7,14,タニノハイクレア,牝3,50,荻野琢真,1:10.6,ハナ,**,8-7,36.0,37.8,10,438(+8),,,,[西] 矢作芳人,谷水雄三,290.0,200703030205
3,1,2,バブルファンタジー,牝5,55,川島信二,1:10.6,クビ,**,7-9,36.1,21.0,7,478(0),,,,[西] 矢作芳人,社台レースホース,180.0,200703030205
4,2,3,タッソーニー,牝5,54,大野拓弥,1:10.8,1.1/4,**,12-11,36.0,73.5,12,446(-2),,,,[東] 矢野照正,川島牧場,110.0,200703030205
5,3,6,センチメンタル,牝6,53,中村将之,1:10.8,ハナ,**,12-14,36.0,216.3,16,470(+36),,,,[西] 加藤敬二,ノースヒルズマネジメント,73.0,200703030205
6,6,11,マザーレイク,牝5,55,佐藤哲三,1:10.9,クビ,**,14-12,36.0,27.7,9,422(-12),,,,[西] 佐々木晶,前田幸治,,200703030205
7,5,10,マヤラブハート,牝4,55,芹沢純一,1:11.0,1/2,**,8-7,36.4,17.7,5,468(+24),,,,[西] 大橋勇樹,まの,,200703030205
8,8,15,ワイルドオーキッド,牝4,52,丸田恭介,1:11.0,ハナ,**,8-9,36.4,107.8,13,476(+8),,,,[東] 岩戸孝樹,ヒダカ・ブリーダーズ・ユニオン,,200703030205
9,4,7,ビューティーパール,牝4,53,的場勇人,1:11.1,クビ,**,2-4,37.0,19.7,6,442(-6),,,,[東] 増沢末夫,水上行雄,,200703030205
10,7,13,セイヴィングス,牝4,55,中舘英二,1:11.1,ハナ,**,2-2,37.0,4.2,2,474(-2),,,,[東] 武市康男,松平恭司,,200703030205
11,2,4,ピエネヴェーレ,牝3,53,津村明秀,1:11.1,クビ,**,1-1,37.2,8.3,3,464(+6),,,,[東] 小笠倫弘,グリーンファーム,,200703030205
12,3,5,アップステージ,牝3,53,太宰啓介,1:11.2,3/4,**,4-5,36.9,13.4,4,456(-2),,,,[西] 中竹和也,ヒダカ・ブリーダーズ・ユニオン,,200703030205
13,1,1,アンジェトワール,牝4,55,石橋脩,1:11.4,1.1/4,**,16-14,36.4,43.8,11,428(+8),,,,[東] 久保田貴,飯田良枝,,200703030205
14,5,9,コウユールビー,牝5,52,宮崎北斗,1:11.4,クビ,**,14-16,36.5,25.2,8,488(+4),,,,[西] 領家政蔵,加治屋康雄,,200703030205
15,4,8,エレメンタルソング,牝3,53,西田雄一,1:11.5,1/2,**,8-12,36.9,114.8,15,408(-6),,,,[東] 武藤善則,グリーンファーム,,200703030205
16,8,16,マチカネコウバイ,牝4,55,竹之下智,1:11.8,2,**,4-5,37.5,110.0,14,466(-16),,,,[西] 武邦彦,細川益男,,200703030205
